"name","last_departure","first_arrival","electrical_plug","wi-fi","bike_support","transportation_class","eco_fuel","energy_source"
"Alba - Ciampac","17:00","08:30",0,0,0,0,1,"Electricity"
"Alba Ciampac","12.30","8.30",0,0,0,0,1,"Electricity"
"Albarè - Copai","16:40","08:30",0,0,0,0,1,"Electricity"
"Albi de Mez - Cima Paganella","17.30","9.00",0,0,0,0,1,"Electricity"
"Alloch - Pian delle Checene","22:00","19:30",0,0,0,0,1,"Electricity"
"Andalo - Doss Pelà","16:30","08:30",0,0,0,0,1,"Electricity"
"Andalo Doss PelÃ ","12.30","9.00",0,0,0,0,1,"Electricity"
"Baby Buffaure","17:00","08:30",0,0,0,0,1,"Electricity"
"Baby Rivetta","18.00","10.00",0,0,0,0,1,"Electricity"
"Baby Tognola","17:00","08:00",0,0,0,0,1,"Electricity"
"Bassetta - M.te Vigo","16:30","08:30",0,0,0,0,1,"Electricity"
"Bassetta del Vigo - Monte Spolverino","16:30","08:30",0,0,0,0,1,"Electricity"
"Belvedere - Malghet Haut","16:40","08:30",0,0,0,0,1,"Electricity"
"Bertoldi","17:00","09:30",0,0,0,0,1,"Electricity"
"Bertoldi - Tablat","17:00","08:30",0,0,0,0,1,"Electricity"
"Bertoldi Tablat","18.30","10.00",0,0,0,0,1,"Electricity"
"Biancaneve","16:30","08:30",0,0,0,0,1,"Electricity"
"Biancaneve - Campi alle Pozze","22:30","08:30",0,0,0,0,1,"Electricity"
"Brenzi -Spolverino","16:30","08:30",0,0,0,0,1,"Electricity"
"Buca Ferrari - Cima Tognazza","17:00","09:00",0,0,0,0,1,"Electricity"
"Bucaneve - Postemon","16:30","09:00",0,0,0,0,1,"Electricity"
"Buffaure - Buffaure di sotto","17:00","08:30",0,0,0,0,1,"Electricity"
"Buffaure - Col de Valvacin","12.30","8.30",0,0,0,0,1,"Electricity"
"Busa Stavelin - Doss dei Cembri","16:30","08:30",0,0,0,0,1,"Electricity"
"Busa Stavelin - Doss del Blanco","16:30","08:30",0,0,0,0,1,"Electricity"
"C.Carlo Magno - M.ga Montagnoli","17:30","08:30",0,0,0,0,1,"Electricity"
"Calchera di Boch - Rifugio Graffer","17:30","08:30",0,0,0,0,1,"Electricity"
"Calchera di boch - Vagliana","17:30","08:30",0,0,0,0,1,"Electricity"
"Campi di Golf - M.ga di Mezzavia","16:15","09:00",0,0,0,0,1,"Electricity"
"Campigol del Cermis - Cimon del Tò dela Trapola","16:30","08:30",0,0,0,0,1,"Electricity"
"Campigol del Pel - Paion del Cermis","16:30","08:30",0,0,0,0,1,"Electricity"
"Campitello - Col Rodella","12.30","8.30",0,0,0,0,1,"Electricity"
"Campitello - Col Rodella ","17:00","08:15",0,0,0,0,1,"Electricity"
"Campo - Laste","16:30","08:30",0,0,0,0,1,"Electricity"
"Campo - Le Cune","16:30","08:30",0,0,0,0,1,"Electricity"
"Campo Scuola - Cermis","16:30","08:30",0,0,0,0,1,"Electricity"
"Campo Scuola - Ciampediè","16:45","08:30",0,0,0,0,1,"Electricity"
"Campo Scuola - Fondo Grande","17:00","08:30",0,0,0,0,1,"Electricity"
"Campo Scuola - Gardonè","16:30","08:30",0,0,0,0,1,"Electricity"
"Campo Scuola - Latemar 3ø","16:40","08:30",0,0,0,0,1,"Electricity"
"Campo Scuola - Rivetta 2ø","17:00","08:30",0,0,0,0,1,"Electricity"
"Campo Scuola Dx","16:30","08:30",0,0,0,0,1,"Electricity"
"Campo Scuola Sx","16:30","08:30",0,0,0,0,1,"Electricity"
"Canazei - Pecol","17:00","08:30",0,0,0,0,1,"Electricity"
"Canazei Pecol","12.30","8.30",0,0,0,0,1,"Electricity"
"Capanna Margherita","16:45","08:30",0,0,0,0,1,"Electricity"
"Casina - Monti Alti","16:30","08:30",0,0,0,0,1,"Electricity"
"Castelir - Le Fassane","16:30","08:30",0,0,0,0,1,"Electricity"
"Cavalese - Masi di Cavalese","13.00","14.00",0,0,0,0,1,"Electricity"
"Cermis - Paion del Cermis","13.00","14.00",0,0,0,0,1,"Electricity"
"Ciampac - Sella Brunec","17.30","08:30",0,0,0,0,1,"Electricity"
"Ciasazza","16:30","08:00",0,0,0,0,1,"Electricity"
"Ciavazes - Grohman","16:40","08:45",0,0,0,0,1,"Electricity"
"Cigolera","17:00","08:00",0,0,0,0,1,"Electricity"
"Cimon -Scuola","17:00","09:00",0,0,0,0,1,"Electricity"
"Col Verde - Rosetta","16.45","8.20",0,0,0,0,1,"Electricity"
"Col de Lin","16:30","09:00",0,0,0,0,1,"Electricity"
"Colarin - Patascoss","18:00","08.30",0,0,0,0,1,"Electricity"
"Colarin Patascoss","17.20","8.30",0,0,0,0,1,"Electricity"
"Contrè - Malga Copai","16:40","08:15",0,0,0,0,1,"Electricity"
"Copai - Malga Panciana","16:40","08:30",0,0,0,0,1,"Electricity"
"Copai Panciana","12.30","8.30",0,0,0,0,1,"Electricity"
"Cordela - Montesel","22:30","08:45",0,0,0,0,1,"Electricity"
"Costa","17:00","08:30",0,0,0,0,1,"Electricity"
"Costa - Dosso della Madonna","17:00","08:30",0,0,0,0,1,"Electricity"
"Costa - Moreta","17:00","08:30",0,0,0,0,1,"Electricity"
"Costalunga - Latemar","16:35","08:30",0,0,0,0,1,"Electricity"
"Coste di Bolbeno","16:30","09:00",0,0,0,0,1,"Electricity"
"Daolasa - Malghetto di Mastellina","16:40","08:30",0,0,0,0,1,"Electricity"
"Daolasa Malghetto di Mastellina","12.30","8.30",0,0,0,0,1,"Electricity"
"Dei Larici","17:00","08:30",0,0,0,0,1,"Electricity"
"Delle Baite","17:00","08:30",0,0,0,0,1,"Electricity"
"Doss dei Laresi - Cermis","13.00","14.00",0,0,0,0,1,"Electricity"
"Doss della Pesa","16:30","08:30",0,0,0,0,1,"Electricity"
"Ferrari","16:30","09:00",0,0,0,0,1,"Electricity"
"Folgarida - Malghet Haut","16:40","08:30",0,0,0,0,1,"Electricity"
"Folgarida Mlaghet Haut","12.30","8.30",0,0,0,0,1,"Electricity"
"Fondo Grande - Cima Sommo Alto","17:00","08:30",0,0,0,0,1,"Electricity"
"Fondo Grande - Dosso Martinella","17:00","08:30",0,0,0,0,1,"Electricity"
"Fondo Piccolo - Cargaore","17:00","08:30",0,0,0,0,1,"Electricity"
"Fondo Piccolo - Cengio Rosso","17:00","08:30",0,0,0,0,1,"Electricity"
"Fondo Piccolo - Cima Spill","17:00","08:30",0,0,0,0,1,"Electricity"
"Fondo Piccolo - Plaut","17:00","08:30",0,0,0,0,1,"Electricity"
"Fondo Piccolo - Trugalait","17:00","08:30",0,0,0,0,1,"Electricity"
"Fondo Piccolo 6ø","17:00","08:30",0,0,0,0,1,"Electricity"
"Fontana Fevri - Monte Spinale","17:30","08:30",0,0,0,0,1,"Electricity"
"Fortini - Pian del Graffer","17:30","08:30",0,0,0,0,1,"Electricity"
"Fortini - Pradalago","17:30","08:30",0,0,0,0,1,"Electricity"
"Fossadei - M.ga Cioca","17:00","08:30",0,0,0,0,1,"Electricity"
