"model","energySource","engine_type","eco_fuel"
"Citroen C-Zero","Electricity","C-Zero","false"
"Mitsubishi i-MiEV","Electricity","i-MiEV","false"
"Nissan Leaf","Electricity","Leaf","false"
"Renault Fluence Z.E.","Electricity","Fluence Z.E.","false"
"Renault Zoe","Electricity","Zoe","false"
"Audi Audi e-tron (2018)","Electricity","BLDC motor","true"
"BMW i3","Electricity","BLDC motor","true"
"BMW Brilliance Zinoro 1E","Electricity","BLDC motor","true"
"Bolloré Bluecar","Electricity","BLDC motor","true"
"BYD e6","Electricity","BLDC motor","true"
"Chery QQ3 EV","Electricity","BLDC motor","true"
"Chevrolet Bolt EV","Electricity","BLDC motor","true"
"Chevrolet Spark EV","Electricity","BLDC motor","true"
"Citroën C-Zero","Electricity","BLDC motor","true"
"COURB C-ZEN","Electricity","BLDC motor","true"
"ElectraMeccanica Solo","Electricity","BLDC motor","true"
"Fiat 500e","Electricity","BLDC motor","true"
"Ford Focus Electric","Electricity","BLDC motor","true"
"Girfalco Azkarra","Electricity","BLDC motor","true"
"Honda Fit EV","Electricity","BLDC motor","true"
"Honda Clarity Electric","Electricity","BLDC motor","true"
"Hyundai Ioniq Electric","Electricity","BLDC motor","true"
"Hyundai Kona Electric","Electricity","BLDC motor","true"
"JAC Motors JAC J3 EV","Electricity","BLDC motor","true"
"Jaguar Land Rover Jaguar I-Pace","Electricity","BLDC motor","true"
"Kewet Buddy","Electricity","BLDC motor","true"
"Kia Soul EV","Electricity","BLDC motor","true"
"Kia e-Niro","Electricity","BLDC motor","true"
"Kyburz Race","Electricity","BLDC motor","true"
"Lightning Lightning GT","Electricity","BLDC motor","true"
"Mahindra e2o plus","Electricity","BLDC motor","true"
"Mahindra e-Verito","Electricity","BLDC motor","true"
"Mercedes-Benz B-Class Electric Drive","Electricity","BLDC motor","true"
"Mercedes-Benz EQC","Electricity","BLDC motor","true"
"Micro Mobility Systems Microlino","Electricity","BLDC motor","true"
"Mitsubishi i-MiEV","Electricity","BLDC motor","true"
"Motores Limpios Zacua","Electricity","BLDC motor","true"
"MW Motors Luka EV","Electricity","BLDC motor","true"
"NIO ES8","Electricity","BLDC motor","true"
"Nissan Leaf","Electricity","BLDC motor","true"
"ECOmove QBeak","Electricity","BLDC motor","true"
"Peugeot i0n","Electricity","BLDC motor","true"
"Rayttle E28","Electricity","BLDC motor","true"
"Renault / Renault Samsung Fluence Z.E. / SM3 Z.E.","Electricity","BLDC motor","true"
"Renault Zoe","Electricity","BLDC motor","true"
"Renault Twizy","Electricity","BLDC motor","true"
"Smart Smart electric drive","Electricity","BLDC motor","true"
"Sono Motors Sion","Electricity","BLDC motor","true"
"Stevens ZeCar","Electricity","BLDC motor","true"
"Tesla Model S","Electricity","BLDC motor","true"
"Tesla Model X","Electricity","BLDC motor","true"
"Tesla Model 3","Electricity","BLDC motor","true"
"Venturi Fétish","Electricity","BLDC motor","true"
"Volkswagen e-Golf","Electricity","BLDC motor","true"
"Volkswagen e-Up!","Electricity","BLDC motor","true"
