"FARE_DESC","PRICE_TICKET","PRICE_CARD","PRICE_ONLINE","CURRENCY_TYPE","TRANSFER_DURATION"
"ENTRO 4 KM",1.1,1.1,1.1,"EUR",21600
"ENTRO 7 KM",1.3,1.3,1.15,"EUR",21600
"ENTRO 11 KM",1.8,1.8,1.6,"EUR",21600
"ENTRO 15 KM",2.2,2.2,2.0,"EUR",21600
"ENTRO 20 KM",2.5,2.5,2.25,"EUR",21600
"ENTRO 25 KM",2.9,2.9,2.6,"EUR",21600
"ENTRO 30 KM",3.1,3.1,2.8,"EUR",21600
"ENTRO 35 KM",3.3,3.3,2.95,"EUR",21600
"ENTRO 40 KM",3.5,3.5,3.15,"EUR",21600
"ENTRO 45 KM",3.7,3.7,3.35,"EUR",21600
"ENTRO 50 KM",4.0,4.0,3.6,"EUR",21600
"ENTRO 60 KM",4.4,4.4,3.95,"EUR",21600
"ENTRO 70 KM",4.7,4.7,4.25,"EUR",21600
"ENTRO 80 KM",5.1,5.1,4.6,"EUR",21600
"ENTRO 90 KM",5.5,5.5,4.95,"EUR",21600
"ENTRO 100 KM",5.8,5.8,5.2,"EUR",21600
"ENTRO 110 KM",6.1,6.1,5.5,"EUR",21600
"ENTRO 120 KM",6.4,6.4,5.75,"EUR",21600
"ENTRO 130 KM",6.7,6.7,6.05,"EUR",21600
"ENTRO 140 KM",7.0,7.0,6.3,"EUR",21600
"ENTRO 150 KM",7.3,7.3,6.55,"EUR",21600
"ENTRO 160 KM",7.6,7.6,6.85,"EUR",21600
"ENTRO 170 KM",7.9,7.9,7.1,"EUR",21600
"ENTRO 180 KM",8.2,8.2,7.4,"EUR",21600
"ENTRO 190 KM",8.5,8.5,7.65,"EUR",21600
"ENTRO 200 KM",8.8,8.8,7.9,"EUR",21600
"ENTRO 210 KM",9.1,9.1,8.2,"EUR",21600
"ENTRO 220 KM",9.4,9.4,8.45,"EUR",21600
