"FARE_DESC","PRICE_TICKET","PRICE_CARD","PRICE_ONLINE","CURRENCY_TYPE","TRANSFER_DURATION"
"Biglietto Urbano Alto Garda 70 min",1.0,0.9,0.9,"EUR",4200
"Biglietto Urbano Pda Rovereto 70 min",1.0,0.9,0.9,"EUR",4200
"Biglietto Urbano Pergine 70 min",1.0,0.9,0.9,"EUR",4200
"Biglietto Urbano Trento 70 min",1.2,1.1,1.1,"EUR",4200
"Biglietto Urbano Alto Garda 120 min",1.3,1.3,1.15,"EUR",7200
"Biglietto Urbano Pergine 150 min",1.3,1.3,1.15,"EUR",9000
"Biglietto Urbano Pda Rovereto 180 min",1.4,1.25,1.25,"EUR",10800
"Biglietto Urbano Trento 120 min",1.5,1.4,1.35,"EUR",7200
"Biglietto Giornaliero Linea A Rovereto",1.5,1.5,1.35,"EUR",86400
"Biglietto Urbano Giornaliero Pda Rovereto",2.5,2.5,2.25,"EUR",86400
"Biglietto Urbano Giornaliero Alto Garda",2.5,2.5,2.25,"EUR",86400
"Biglietto Urbano Giornaliero Pergine",2.6,2.6,2.35,"EUR",86400
"Biglietto Urbano Giornaliero Trento",3.0,2.8,2.7,"EUR",86400
