,@id,latitude,longitude,name,brand,operator,fuel:diesel,fuel:lpg,fuel:cng,address
0,221915633,46.0958611,11.097467800000002,ENI,Agip Eni,G. & M. di Ferrato Greta & C. S.A.S.,yes,yes,yes,"ENI, Strade dell'Interporto, zona commerciale via Maccani, Trento, Territorio Val d'Adige, Trento, Trentino-Alto Adige/Südtirol, 38121, Italia"
1,221922466,46.044828700000004,11.4228045,,Agip Eni,G.M. di Grigore Marian,,yes,yes,"Agip Eni, Strada Statale 47 della Valsugana, Maso Vazzena, Larganza, Roncegno Terme, Comunità Valsugana e Tesino, Trento, Trentino-Alto Adige/Südtirol, 38050, Italia"
2,226917274,46.048761400000004,11.4757382,Loro,Loro,Loro F.Lli-s.P.A.,,yes,,"Loro, SS47, Perozzi, Prai da Brenta, Castelnuovo, Comunità Valsugana e Tesino, Trento, Trentino-Alto Adige/Südtirol, 38051, Italia"
3,226927873,46.141578,11.087335000000001,Agip,Agip Eni,Eni Fuel S.p.A.,,yes,,"Agip, Area Paganella Est, Maso Ingran, Lavis, Comunità Rotaliana-Königsberg, Trento, Trentino-Alto Adige/Südtirol, 38015, Italia"
4,226928193,46.140584999999994,11.085712,Agip,Agip Eni,Wecar S.A.S. di Webber Gervasio & C.,,yes,,"Agip, Area Paganella Ovest, Maso Ingran, Lavis, Comunità Rotaliana-Königsberg, Trento, Trentino-Alto Adige/Südtirol, 38015, Italia"
5,227024599,46.2102988,11.093863800000001,Agip,Agip Eni,Merlo Snc di Merlo Maurizio e C.,,,,"Agip, Via Alcide De Gasperi, Mezzolombardo, Comunità Rotaliana-Königsberg, Trento, Trentino-Alto Adige/Südtirol, 38017, Italia"
6,227024603,46.131214,11.110062,ENI,Agip Eni,Pellegrini e Dalfovo Mauro S.N.C.,yes,yes,,"ENI, 51, Via Alto Adige, Lamar, Trento, Territorio Val d'Adige, Trento, Trentino-Alto Adige/Südtirol, 38121, Italia"
7,227024606,46.079691,11.040627,Agip,Agip,Agip,,,,"Agip, Strada di Vigolo Baselga, Sant'Anna, Trento, Territorio Val d'Adige, Trento, Trentino-Alto Adige/Südtirol, Italia"
8,227024610,46.042291999999996,11.1128785,Agip,Agip Eni,Boller Alessandro,,,,"Agip, Via del Ponte, Man Malpensada, Maso Pez, Trento, Territorio Val d'Adige, Trento, Trentino-Alto Adige/Südtirol, 38123, Italia"
9,227024618,46.0552954,11.4699664,Agip,Agip Eni,Perozzo Albino,,,,"Agip, 62, Corso Vicenza, Maso Beselenga, Borgo Valsugana, Comunità Valsugana e Tesino, Trento, Trentino-Alto Adige/Südtirol, 38051, Italia"
