,name,latitude,longitude,city,opening_hours,phone,wheelchair,address
0,Farmacia Comunale San Don?,46.071609,11.140260699999999,,"Mo-Fr 08:30-12:00,15:00-19:00; Sa 08:30-12:00",,,"Farmacia Comunale San Donà, Piazza di San Donà, San Vito, Trento, Territorio Val d'Adige, Trento, Trentino-Alto Adige/Südtirol, 38100, Italia"
1,,46.28185429999999,11.436211199999999,,"Mo-Sa 08:30-12:15,15:30-19:00",+39 0462 341359,,"Vinante Dr. Giorgio & C. S.N.C., Via Latemar, Castello-Molina di Fiemme, Comunità territoriale della Val di Fiemme, Trento, Trentino-Alto Adige/Südtirol, 38033, Italia"
2,,46.272563299999995,11.4172234,,Mo-Fr 09:15-12:15,,,"Dottor Mauro Pierini, Via Segherie, Predaia, Castello-Molina di Fiemme, Comunità territoriale della Val di Fiemme, Trento, Trentino-Alto Adige/Südtirol, 38033, Italia"
3,Farmacia 'Bolghera',46.058007399999994,11.132764199999999,Trento,,,,"Farmacia  Bolghera, 8, Largo Medaglie d'Oro, Cernidor, Bolghera, Trento, Territorio Val d'Adige, Trento, Trentino-Alto Adige/Südtirol, 38122, Italia"
4,Farmacia dall'Armi,46.0676744,11.1219136,Trento,,+39 0461 236139,,"Farmacia dall'Armi, 10, Piazza del Duomo, Centro storico Trento, Trento, Territorio Val d'Adige, Trento, Trentino-Alto Adige/Südtirol, 38122, Italia"
5,Farmacia Santoni,46.0677922,11.1223981,Trento,,+39 0461 982103,,"Palazzo Ghelfi, Piazza Mario Pasi, Centro storico Trento, Trento, Territorio Val d'Adige, Trento, Trentino-Alto Adige/Südtirol, Italia"
6,Farmacia Lamberto Gallo,46.0674124,11.124188199999999,Trento,,+39 0461 234387,,"Farmacia Lamberto Gallo, 51, Via Mantova, Centro storico Trento, Trento, Territorio Val d'Adige, Trento, Trentino-Alto Adige/Südtirol, 38122, Italia"
7,Morelli,46.133562700000006,11.2480642,,,,,"Morelli, Via Cesare Battisti, Gardizzola, Baselga di Piné, Comunità Alta Valsugana e Bersntol, Trento, Trentino-Alto Adige/Südtirol, 38042, Italia"
8,Farmacia Santa Chiara,46.063666999999995,11.123706599999998,Trento,,,,"Farmacia Santa Chiara, 57, Via Santa Croce, Cernidor, Centro storico Trento, Trento, Territorio Val d'Adige, Trento, Trentino-Alto Adige/Südtirol, 38122, Italia"
9,,46.142536299999996,11.1956614,,,,,"Via Roma, Albiano, Comunità della Valle di Cembra, Trento, Trentino-Alto Adige/Südtirol, 38041, Italia"
10,Barbacovi,45.8832338,11.0401384,Rovereto,,,,"Barbacovi, 9B, Via Benacense, Santa Maria, Rovereto, Comunità della Vallagarina, Trento, Trentino-Alto Adige/Südtirol, 38068, Italia"
11,,46.0892787,11.1314234,,,,,"Conad, Via alla Formigheta, Pinara, Maderno, Trento, Territorio Val d'Adige, Trento, Trentino-Alto Adige/Südtirol, 38121, Italia"
12,Farmacia Comunale,46.1264001,11.1165086,Meano,"luned?	08:30?12:15, 15?19 marted?	08:30?12:15, 15?19 mercoled?	08:30?12:15, 15?19 gioved?	08:30?12:15, 15?19venerd?	08:30?12:15, 15?19 sabato	08:30?12:15 domenica	Chiuso",,,"Farmacia Comunale, 30, Via delle Sugarine, Lamar, Trento, Territorio Val d'Adige, Trento, Trentino-Alto Adige/Südtirol, 38121, Italia"
13,Farmacia Comunale N.6,46.066305799999995,11.1541385,Povo,,,yes,"Farmacia Comunale N.6, 5, Piazza Giannantonio Manci, Negrano, Pantè, Trento, Territorio Val d'Adige, Trento, Trentino-Alto Adige/Südtirol, 38123, Italia"
14,Farmacia 'Comunale Cognola',46.0767326,11.141988099999999,Cognola di Trento,,,,"Farmacia  Comunale Cognola, 10, Piazza dell'Argentario, Marnighe, Trento, Territorio Val d'Adige, Trento, Trentino-Alto Adige/Südtirol, 38121, Italia"
15,,46.0623036,11.2429905,,,,,"26, Via Cesare Battisti Marcadel, Maso Kronst, Pergine Valsugana, Comunità Alta Valsugana e Bersntol, Trento, Trentino-Alto Adige/Südtirol, 38057, Italia"
16,Soave,45.8883664,11.0444617,Rovereto,,,,"Soave, 17, Piazza delle Erbe, Santa Maria, Rovereto, Comunità della Vallagarina, Trento, Trentino-Alto Adige/Südtirol, 38068, Italia"
17,Pavani,45.8858453,11.0279101,,,,,"Pavani, Viale della Vittoria, Borgo Sacco, Rovereto, Comunità della Vallagarina, Trento, Trentino-Alto Adige/Südtirol, 38068, Italia"
18,Madonna Delle Grazie,45.8997823,10.8441919,,,,,"Madonna Delle Grazie, Via Monte Misone, Riva del Garda, Comunità Alto Garda e Ledro, Trento, Trentino-Alto Adige/Südtirol, 38066, Italia"
19,Farmacia dott.ssa Venezian,45.918749,10.8667757,,,,,"Farmacia dott.ssa Venezian, Via della Fossa, Bolognano, Arco, Comunità Alto Garda e Ledro, Trento, Trentino-Alto Adige/Südtirol, 38062, Italia"
20,,46.4205104,11.673278199999999,,,,,"4, Piaz de Vich, San Giovanni di Fassa, Comun General de Fascia, Trento, Trentino-Alto Adige/Südtirol, 38039, Italia"
21,Pizzo,46.067039,11.2373933,,,,,"Pizzo, Viale Vito Bellini, Maso Kronst, Pergine Valsugana, Comunità Alta Valsugana e Bersntol, Trento, Trentino-Alto Adige/Südtirol, 38057, Italia"
22,,46.40087570000001,10.846409399999999,,,,,"Bar Trafojer, SP86, Cavallar, Rabbi, Comunità della Valle di Sole, Trento, Trentino-Alto Adige/Südtirol, Italia"
23,,46.3021572,10.810507300000001,,,,,"Marilleva 1400, Via per Marilleva, Commezzadura, Comunità della Valle di Sole, Trento, Trentino-Alto Adige/Südtirol, 38025, Italia"
24,,46.4767228,11.7420375,,,,,"Strèda Dolomites delle Dolomiti, Campitello di Fassa, Comun General de Fascia, Trento, Trentino-Alto Adige/Südtirol, 38031, Italia"
25,,46.175629799999996,11.829935,,,,,"Durex, Via Angelo Guadagnini, Fiera di Primiero, Primiero San Martino di Castrozza, Comunità di Primiero, Trento, Trentino-Alto Adige/Südtirol, 38054, Italia"
26,,46.0121165,11.299756,,,,,"31, Via Dante Alighieri, Levico Terme, Comunità Alta Valsugana e Bersntol, Trento, Trentino-Alto Adige/Südtirol, 38056, Italia"
27,Farmacia Romanese,46.0114325,11.302147999999999,,"Mo-Sa 08:30-12:30,15:00-19:00",,,"Farmacia Romanese, Via Regia, Levico Terme, Comunità Alta Valsugana e Bersntol, Trento, Trentino-Alto Adige/Südtirol, 38056, Italia"
28,Farmacia Margonari Ada,46.142562,10.9662347,Molveno,"08:30-12:30,15:30-19:30","+39 0461 586972, +39 334 8257059",,"Farmacia Margonari Ada, 24b, Piazza Guglielmo Marconi, Molveno, Comunità della Paganella, Trento, Trentino-Alto Adige/Südtirol, 38018, Italia"
29,Farmacia Madonna Bianca,46.040173200000005,11.1333734,,,,,"Farmacia Madonna Bianca, Via Clorinda Menguzzato ""Veglia"", Centro Commerciale Madonna Bianca, Madonna Bianca, Trento, Territorio Val d'Adige, Trento, Trentino-Alto Adige/Südtirol, 38128, Italia"
30,Farmacia 'San Bartolameo',46.0536916,11.1296507,,,,,"Farmacia  San Bartolameo, Viale Verona, Cernidor, Clarina, Trento, Territorio Val d'Adige, Trento, Trentino-Alto Adige/Südtirol, 38123, Italia"
31,Farmacia San Lorenzo,46.076997,11.119107000000001,Trento,,+39 0461 823529,,"Farmacia San Lorenzo, 1, Piazza General Antonio Cantore, Piazzina, Cristo Re, Trento, Territorio Val d'Adige, Trento, Trentino-Alto Adige/Südtirol, 38121, Italia"
