"nome","mode(bike_support)","mode(electric_plug)","mode(first_arrival)","mode(last_departure)","mode(transportation_class)","mode(trip_id)","mode(trip_time)","mode(wi-fi)"
".",1,0,"06:55:00","nan",0,"0002486802019091220200626","00:30:00",0
"Agordo-Luxottica",1,0,"06:35:00","19:40:00",0,"0002539942019091220200626","01:11:00",0
"Ala-Ospedale Bivio",1,0,"09:40:00","10:09:00",0,"0002483412019091220200626","00:29:00",0
"Ala-Stazione Fs",1,0,"05:41:00","19:46:00",0,"0002508102019091220200626","00:44:00",0
"Ala-Trenitalia",1,0,"05:12:00","20:24:00",0,"0002488882019091220200626","00:52:00",0
"Ala-Via Malfatti",1,0,"07:10:00","07:28:00",0,"0002496132019091220200626","00:18:00",0
"Albaredo",1,0,"09:25:00","11:54:00",0,"0002484632019091220200626","00:19:00",0
"Albiano",1,0,"12:25:00","13:12:00",0,"0002519662019091220200626","00:47:00",0
"Albola",1,0,"07:10:00","07:38:00",0,"0002504002019091220200626","00:28:00",0
"Aldeno",1,0,"06:48:00","18:33:00",0,"0002519322019091220200626","00:33:00",0
"Andalo",1,0,"11:55:00","14:04:00",0,"0002525382019091220200626","00:41:00",0
"Andalo-Maso Toscana",1,0,"18:50:00","19:45:00",0,"0002525502019091220200626","00:35:00",0
"Anghebeni",1,0,"13:23:00","14:08:00",0,"0002495352019091220200626","00:45:00",0
"Arco Piazza Italia",1,0,"06:34:00","06:57:00",0,"0002495072019091220200626","00:23:00",0
"Arco Svizzera",1,0,"06:29:00","06:56:00",0,"0002473902019091220200626","00:27:00",0
"Arco-Autostaz.",1,0,"06:30:00","20:19:00",0,"0002474602019091220200626","00:23:00",0
"Arten",1,0,"05:55:00","16:00:00",0,"0002527052019091220200626","00:15:00",0
"Avio-Carabinieri",1,0,"09:00:00","18:16:00",0,"0002516702019091220200626","01:03:00",0
"Avio-Via M.Baldo",1,0,"09:00:00","19:20:00",0,"0002510012019091220200626","00:53:00",0
"Baitoni",1,0,"07:50:00","20:19:00",0,"0002539342019091220200626","01:34:00",0
"Barco",1,0,"09:25:00","17:43:00",0,"0002471962019091220200626","00:08:00",0
"Baselga-Municipio",1,0,"06:30:00","19:28:00",0,"0002475432019091220200626","00:11:00",0
"Bassano Del Grappa",1,0,"05:05:00","22:15:00",0,"0002533292019091220200626","02:10:00",0
"Bastianello",1,0,"09:10:00","09:42:00",0,"0002543692019091220200626","00:32:00",0
"Battisti",1,0,"12:55:00","18:19:00",0,"0002514472019091220200626","00:42:00",0
"Bedollo",1,0,"06:40:00","07:21:00",0,"0002505422019091220200626","00:03:00",0
"Belvedere",1,0,"06:50:00","17:08:00",0,"0002503082019120820200331","00:28:00",0
"Berni",1,0,"12:56:00","13:49:00",0,"0002514702019091220200626","00:28:00",0
"Besagno",1,0,"06:15:00","13:56:00",0,"0002495392019091220200626","00:21:00",0
"Besenello",1,0,"19:56:00","20:15:00",0,"0002583542019100820200626","00:19:00",0
"Besenello-Ferm. Nord",1,0,"11:05:00","11:26:00",0,"0002583662019100820200626","00:21:00",0
"Bivedo",1,0,"07:00:00","19:09:00",0,"0002474022019091220200626","00:29:00",0
"Bolentina",1,0,"07:10:00","17:05:00",0,"0002515522019091220200626","00:18:00",0
"Bolognano",1,0,"06:47:00","21:54:00",0,"0002494532019091220200626","00:45:00",0
"Borghetto-Trenitalia",1,0,"05:55:00","23:11:00",0,"0002535702019091220200626","01:20:00",0
"Borgo Vals.-Valli",1,0,"06:24:00","20:58:00",0,"0002521062019091220200626","01:23:00",0
