"trainId","time","stationId","leaves_at"
80,"09:41:00","S02044","09:41:00"
80,"09:57:00","S02038","09:57:00"
81,"10:02:00","S02038","10:02:00"
81,"10:17:00","S02044","10:17:00"
82,"15:41:00","S02044","15:41:00"
82,"15:57:00","S02038","15:57:00"
83,"18:02:00","S02038","18:02:00"
83,"18:17:00","S02044","18:17:00"
84,"11:41:00","S02044","11:41:00"
84,"11:57:00","S02038","11:57:00"
85,"12:02:00","S02038","12:02:00"
85,"12:17:00","S02044","12:17:00"
86,"13:41:00","S02044","13:41:00"
86,"13:57:00","S02038","13:57:00"
87,"14:02:00","S02038","14:02:00"
87,"14:17:00","S02044","14:17:00"
88,"07:41:00","S02044","07:41:00"
88,"07:57:00","S02038","07:57:00"
89,"16:02:00","S02038","16:02:00"
89,"16:17:00","S02044","16:17:00"
764,"04:59:00","S02044","04:59:00"
764,"05:15:00","S02038","05:15:00"
764,"05:28:00","S02035","05:28:00"
2251,"03:24:00","S02035","03:24:00"
2251,"03:36:00","S02038","03:36:00"
2251,"03:50:00","S02044","03:50:00"
2251,"04:00:00","S02049","04:00:00"
2252,"06:25:00","S02049","06:25:00"
2252,"06:38:00","S02044","06:38:00"
2252,"06:52:00","S02038","06:52:00"
2252,"07:04:00","S02035","07:04:00"
2253,"05:55:00","S02035","05:55:00"
2253,"06:08:00","S02038","06:08:00"
2253,"06:24:00","S02044","06:24:00"
2253,"06:34:00","S02049","06:34:00"
2259,"10:55:00","S02035","10:55:00"
2259,"11:08:00","S02038","11:08:00"
2259,"11:24:00","S02044","11:24:00"
2259,"11:34:00","S02049","11:34:00"
2260,"12:25:00","S02049","12:25:00"
2260,"12:38:00","S02044","12:38:00"
2260,"12:52:00","S02038","12:52:00"
2260,"13:04:00","S02035","13:04:00"
2261,"12:55:00","S02035","12:55:00"
2261,"13:08:00","S02038","13:08:00"
2261,"13:24:00","S02044","13:24:00"
2261,"13:34:00","S02049","13:34:00"
2262,"14:25:00","S02049","14:25:00"
2262,"14:38:00","S02044","14:38:00"
2262,"14:52:00","S02038","14:52:00"
2262,"15:04:00","S02035","15:04:00"
2263,"14:55:00","S02035","14:55:00"
2263,"15:08:00","S02038","15:08:00"
2263,"15:24:00","S02044","15:24:00"
2263,"15:34:00","S02049","15:34:00"
2264,"16:25:00","S02049","16:25:00"
2264,"16:38:00","S02044","16:38:00"
2264,"16:52:00","S02038","16:52:00"
2264,"17:04:00","S02035","17:04:00"
2265,"16:55:00","S02035","16:55:00"
2265,"17:08:00","S02038","17:08:00"
2265,"17:24:00","S02044","17:24:00"
2265,"17:34:00","S02049","17:34:00"
2266,"18:25:00","S02049","18:25:00"
2266,"18:38:00","S02044","18:38:00"
2266,"18:52:00","S02038","18:52:00"
2266,"19:04:00","S02035","19:04:00"
2267,"18:55:00","S02035","18:55:00"
2267,"19:08:00","S02038","19:08:00"
2267,"19:24:00","S02044","19:24:00"
2267,"19:35:00","S02049","19:35:00"
2268,"20:25:00","S02049","20:25:00"
2268,"20:38:00","S02044","20:38:00"
2268,"20:52:00","S02038","20:52:00"
2268,"21:04:00","S02035","21:04:00"
2761,"04:49:00","S02035","04:49:00"
2761,"04:55:00","S02037","04:55:00"
2761,"05:03:00","S02038","05:03:00"
2761,"05:19:00","S02044","05:19:00"
2761,"05:29:00","S02049","05:29:00"
2762,"03:30:00","S02038","03:30:00"
2762,"03:37:00","S02037","03:37:00"
2762,"03:43:00","S02035","03:43:00"
2763,"06:55:00","S02035","06:55:00"
2763,"07:08:00","S02038","07:08:00"
2763,"07:24:00","S02044","07:24:00"
2763,"07:34:00","S02049","07:34:00"
2764,"05:03:00","S02051","05:03:00"
2764,"05:09:00","S02050","05:09:00"
2764,"05:15:00","S02049","05:15:00"
2764,"05:26:00","S02046","05:26:00"
2764,"05:31:00","S02044","05:31:00"
2764,"05:47:00","S02038","05:47:00"
2764,"06:01:00","S02035","06:01:00"
2766,"07:25:00","S02049","07:25:00"
2766,"07:36:00","S02044","07:36:00"
2766,"07:50:00","S02038","07:50:00"
2766,"08:04:00","S02035","08:04:00"
2770,"21:26:00","S02049","21:26:00"
2770,"21:38:00","S02044","21:38:00"
2770,"21:57:00","S02038","21:57:00"
2958,"10:25:00","S02049","10:25:00"
2958,"10:38:00","S02044","10:38:00"
2958,"10:52:00","S02038","10:52:00"
2958,"11:04:00","S02035","11:04:00"
5500,"03:31:30","S02318","03:31:30"
5500,"03:38:00","S02317","03:38:00"
5500,"03:48:00","S02315","03:48:00"
5500,"03:54:00","S02314","03:54:00"
5500,"03:57:00","S02313","03:57:00"
5500,"04:02:00","S02312","04:02:00"
5500,"04:11:00","S02309","04:11:00"
5500,"04:16:00","S02308","04:16:00"
5500,"04:20:30","S02307","04:20:30"
5500,"04:31:00","S02305","04:31:00"
5500,"04:45:00","S02300","04:45:00"
5500,"04:51:30","S02003","04:51:30"
5500,"04:58:00","S02038","04:58:00"
5500,"05:09:00","S02035","05:09:00"
5501,"03:05:00","S02038","03:05:00"
5501,"03:08:30","S02003","03:08:30"
5501,"03:15:00","S02300","03:15:00"
5501,"03:31:00","S02305","03:31:00"
5501,"03:40:30","S02307","03:40:30"
5501,"03:46:00","S02308","03:46:00"
5501,"03:51:00","S02309","03:51:00"
5501,"04:02:00","S02312","04:02:00"
5501,"04:07:00","S02313","04:07:00"
5501,"04:10:00","S02314","04:10:00"
5501,"04:15:00","S02315","04:15:00"
