Latitude;Longitude;Elevation;Time;Name;
46.271298;11.415713;798.1;1970-01-01T00:00:00Z;;
46.271062;11.415819;803.2;1970-01-01T00:00:00Z;;
46.270989;11.415842;805.3;1970-01-01T00:00:00Z;;
46.270767;11.415728;812.6;1970-01-01T00:00:00Z;;
46.270836;11.415407;812.0;1970-01-01T00:00:00Z;;
46.270914;11.415138;811.2;1970-01-01T00:00:00Z;;
46.270936;11.41497;811.5;1970-01-01T00:00:00Z;;
46.270892;11.41489;813.6;1970-01-01T00:00:00Z;;
46.270831;11.414797;816.5;1970-01-01T00:00:00Z;;
46.27078;11.41469;819.3;1970-01-01T00:00:00Z;;
46.270727;11.41461;821.9;1970-01-01T00:00:00Z;;
46.270649;11.41449;824.9;1970-01-01T00:00:00Z;;
46.270614;11.414437;826.2;1970-01-01T00:00:00Z;;
46.270588;11.414397;827.1;1970-01-01T00:00:00Z;;
46.270561;11.414383;828.1;1970-01-01T00:00:00Z;;
46.270534;11.414381;829.1;1970-01-01T00:00:00Z;;
46.270489;11.414379;830.8;1970-01-01T00:00:00Z;;
46.270452;11.414417;832.3;1970-01-01T00:00:00Z;;
46.270434;11.414442;833.0;1970-01-01T00:00:00Z;;
46.270416;11.414454;833.7;1970-01-01T00:00:00Z;;
46.270369;11.414517;835.3;1970-01-01T00:00:00Z;;
46.270295;11.414643;837.5;1970-01-01T00:00:00Z;;
46.270274;11.414785;837.3;1970-01-01T00:00:00Z;;
46.270225;11.414978;837.9;1970-01-01T00:00:00Z;;
46.270193;11.415184;838.2;1970-01-01T00:00:00Z;;
46.270162;11.415364;838.8;1970-01-01T00:00:00Z;;
46.27014;11.415571;838.7;1970-01-01T00:00:00Z;;
46.270116;11.415868;838.4;1970-01-01T00:00:00Z;;
46.270109;11.41618;837.1;1970-01-01T00:00:00Z;;
46.270093;11.416503;837.0;1970-01-01T00:00:00Z;;
46.270097;11.416763;836.1;1970-01-01T00:00:00Z;;
46.270109;11.417036;834.7;1970-01-01T00:00:00Z;;
46.270156;11.417778;833.0;1970-01-01T00:00:00Z;;
46.270202;11.418182;831.7;1970-01-01T00:00:00Z;;
46.270199;11.418312;832.1;1970-01-01T00:00:00Z;;
46.270196;11.418468;832.6;1970-01-01T00:00:00Z;;
46.270192;11.418649;833.3;1970-01-01T00:00:00Z;;
46.270169;11.418882;834.4;1970-01-01T00:00:00Z;;
46.270176;11.418973;834.0;1970-01-01T00:00:00Z;;
46.2702;11.419117;832.7;1970-01-01T00:00:00Z;;
46.270242;11.419274;830.5;1970-01-01T00:00:00Z;;
46.270301;11.419446;827.6;1970-01-01T00:00:00Z;;
46.270361;11.419604;824.6;1970-01-01T00:00:00Z;;
46.270385;11.419722;823.5;1970-01-01T00:00:00Z;;
46.270418;11.419892;822.0;1970-01-01T00:00:00Z;;
46.270435;11.419945;821.5;1970-01-01T00:00:00Z;;
46.270564;11.420638;820.7;1970-01-01T00:00:00Z;;
46.270627;11.421056;823.3;1970-01-01T00:00:00Z;;
46.270636;11.421083;823.3;1970-01-01T00:00:00Z;;
46.270649;11.421278;825.2;1970-01-01T00:00:00Z;;
46.270695;11.421682;831.6;1970-01-01T00:00:00Z;;
46.270742;11.422009;835.8;1970-01-01T00:00:00Z;;
46.270838;11.422571;843.3;1970-01-01T00:00:00Z;;
46.270834;11.422766;848.0;1970-01-01T00:00:00Z;;
46.270832;11.42283;849.6;1970-01-01T00:00:00Z;;
46.27082;11.422973;853.1;1970-01-01T00:00:00Z;;
46.270804;11.423335;859.0;1970-01-01T00:00:00Z;;
46.27076;11.424566;876.1;1970-01-01T00:00:00Z;;
46.27075;11.425007;877.2;1970-01-01T00:00:00Z;;
46.270778;11.425372;874.8;1970-01-01T00:00:00Z;;
46.27081;11.425581;872.7;1970-01-01T00:00:00Z;;
46.270818;11.42562;872.2;1970-01-01T00:00:00Z;;
46.270981;11.426432;862.8;1970-01-01T00:00:00Z;;
46.271019;11.426784;863.5;1970-01-01T00:00:00Z;;
46.271085;11.42706;860.8;1970-01-01T00:00:00Z;;
46.27116;11.427336;856.9;1970-01-01T00:00:00Z;;
46.271269;11.427691;852.3;1970-01-01T00:00:00Z;;
46.271549;11.428508;849.5;1970-01-01T00:00:00Z;;
46.271633;11.428784;849.1;1970-01-01T00:00:00Z;;
46.271982;11.429747;842.0;1970-01-01T00:00:00Z;;
46.272312;11.430696;844.5;1970-01-01T00:00:00Z;;
46.272364;11.430802;843.6;1970-01-01T00:00:00Z;;
46.272397;11.430933;843.8;1970-01-01T00:00:00Z;;
46.272461;11.431313;845.6;1970-01-01T00:00:00Z;;
46.272502;11.431522;847.1;1970-01-01T00:00:00Z;;
46.272538;11.431926;852.3;1970-01-01T00:00:00Z;;
46.272578;11.432187;855.0;1970-01-01T00:00:00Z;;
46.272594;11.432279;856.0;1970-01-01T00:00:00Z;;
46.272664;11.43236;853.5;1970-01-01T00:00:00Z;;
46.272795;11.432534;848.3;1970-01-01T00:00:00Z;;
46.2729;11.432695;843.5;1970-01-01T00:00:00Z;;
46.272976;11.432906;842.7;1970-01-01T00:00:00Z;;
46.273095;11.433235;844.0;1970-01-01T00:00:00Z;;
46.273182;11.433382;842.6;1970-01-01T00:00:00Z;;
46.273358;11.433598;837.4;1970-01-01T00:00:00Z;;
46.27348;11.433772;833.3;1970-01-01T00:00:00Z;;
46.273541;11.433865;831.6;1970-01-01T00:00:00Z;;
46.273583;11.433997;831.4;1970-01-01T00:00:00Z;;
46.273658;11.434299;832.0;1970-01-01T00:00:00Z;;
46.273731;11.43464;833.3;1970-01-01T00:00:00Z;;
46.273796;11.434967;838.7;1970-01-01T00:00:00Z;;
46.273916;11.435297;842.6;1970-01-01T00:00:00Z;;
46.274054;11.435562;843.5;1970-01-01T00:00:00Z;;
46.274351;11.436004;839.8;1970-01-01T00:00:00Z;;
46.274544;11.43622;834.4;1970-01-01T00:00:00Z;;
46.274613;11.43634;833.4;1970-01-01T00:00:00Z;;
46.274681;11.436538;834.3;1970-01-01T00:00:00Z;;
46.274775;11.43675;834.7;1970-01-01T00:00:00Z;;
46.274808;11.43692;836.1;1970-01-01T00:00:00Z;;
46.274821;11.437128;838.9;1970-01-01T00:00:00Z;;
46.27486;11.437441;843.9;1970-01-01T00:00:00Z;;
46.27496;11.437809;848.1;1970-01-01T00:00:00Z;;
46.275045;11.438059;850.1;1970-01-01T00:00:00Z;;
46.275096;11.438191;850.7;1970-01-01T00:00:00Z;;
46.275174;11.438299;850.0;1970-01-01T00:00:00Z;;
46.275316;11.438396;846.7;1970-01-01T00:00:00Z;;
46.275432;11.438453;843.6;1970-01-01T00:00:00Z;;
46.275511;11.438547;842.6;1970-01-01T00:00:00Z;;
46.27567;11.43871;839.9;1970-01-01T00:00:00Z;;
46.275801;11.438872;837.0;1970-01-01T00:00:00Z;;
46.275941;11.43906;833.7;1970-01-01T00:00:00Z;;
46.276001;11.439192;832.6;1970-01-01T00:00:00Z;;
46.276061;11.439325;831.7;1970-01-01T00:00:00Z;;
46.276122;11.439457;830.7;1970-01-01T00:00:00Z;;
46.276242;11.439748;829.2;1970-01-01T00:00:00Z;;
46.276345;11.439947;829.4;1970-01-01T00:00:00Z;;
46.276441;11.44012;829.7;1970-01-01T00:00:00Z;;
46.276562;11.44032;829.8;1970-01-01T00:00:00Z;;
46.276641;11.440441;829.7;1970-01-01T00:00:00Z;;
46.276763;11.440628;828.8;1970-01-01T00:00:00Z;;
46.276852;11.440684;828.2;1970-01-01T00:00:00Z;;
46.277039;11.440757;826.8;1970-01-01T00:00:00Z;;
46.277316;11.440873;825.3;1970-01-01T00:00:00Z;;
46.277404;11.440955;824.7;1970-01-01T00:00:00Z;;
46.277536;11.441103;823.9;1970-01-01T00:00:00Z;;
46.27764;11.441264;823.0;1970-01-01T00:00:00Z;;
46.277744;11.441463;822.6;1970-01-01T00:00:00Z;;
46.277856;11.441715;822.5;1970-01-01T00:00:00Z;;
46.277967;11.441979;823.3;1970-01-01T00:00:00Z;;
46.278087;11.44227;824.3;1970-01-01T00:00:00Z;;
46.27818;11.442521;824.6;1970-01-01T00:00:00Z;;
46.278239;11.442731;824.4;1970-01-01T00:00:00Z;;
46.278313;11.443046;824.5;1970-01-01T00:00:00Z;;
46.278379;11.443334;825.7;1970-01-01T00:00:00Z;;
46.278411;11.443544;826.6;1970-01-01T00:00:00Z;;
46.278415;11.443738;827.4;1970-01-01T00:00:00Z;;
46.278429;11.443921;828.3;1970-01-01T00:00:00Z;;
