Latitude;Longitude;Elevation;Time;Name;
45.85179;10.994604;160.7;1970-01-01T00:00:00Z;;
45.851803;10.994483;160.9;1970-01-01T00:00:00Z;;
45.851864;10.994096;161.8;1970-01-01T00:00:00Z;;
45.851928;10.993717;162.7;1970-01-01T00:00:00Z;;
45.851978;10.993281;164.4;1970-01-01T00:00:00Z;;
45.851995;10.993162;164.8;1970-01-01T00:00:00Z;;
45.851967;10.992924;165.6;1970-01-01T00:00:00Z;;
45.851998;10.992743;166.8;1970-01-01T00:00:00Z;;
45.852037;10.992626;167.6;1970-01-01T00:00:00Z;;
45.85216;10.992257;170.5;1970-01-01T00:00:00Z;;
45.852207;10.991984;173.3;1970-01-01T00:00:00Z;;
45.852187;10.991761;176.2;1970-01-01T00:00:00Z;;
45.852217;10.991589;178.6;1970-01-01T00:00:00Z;;
45.852311;10.991361;181.7;1970-01-01T00:00:00Z;;
45.852422;10.991172;183.7;1970-01-01T00:00:00Z;;
45.852532;10.991086;184.5;1970-01-01T00:00:00Z;;
45.85262;10.991104;184.2;1970-01-01T00:00:00Z;;
45.852714;10.991145;183.8;1970-01-01T00:00:00Z;;
45.852826;10.991185;183.5;1970-01-01T00:00:00Z;;
45.852996;10.991305;182.8;1970-01-01T00:00:00Z;;
45.853067;10.991336;182.8;1970-01-01T00:00:00Z;;
45.853221;10.99129;183.3;1970-01-01T00:00:00Z;;
45.853412;10.991181;183.7;1970-01-01T00:00:00Z;;
45.853568;10.991006;183.9;1970-01-01T00:00:00Z;;
45.853853;10.990695;183.7;1970-01-01T00:00:00Z;;
45.853989;10.990584;184.0;1970-01-01T00:00:00Z;;
45.854144;10.990512;184.3;1970-01-01T00:00:00Z;;
45.854488;10.99037;184.6;1970-01-01T00:00:00Z;;
45.854743;10.990211;184.5;1970-01-01T00:00:00Z;;
45.854908;10.99005;184.4;1970-01-01T00:00:00Z;;
45.855056;10.989836;184.1;1970-01-01T00:00:00Z;;
45.855186;10.989544;184.0;1970-01-01T00:00:00Z;;
45.855374;10.989113;185.4;1970-01-01T00:00:00Z;;
45.855452;10.988807;186.2;1970-01-01T00:00:00Z;;
45.855472;10.988679;186.6;1970-01-01T00:00:00Z;;
45.855446;10.988574;186.5;1970-01-01T00:00:00Z;;
45.855313;10.988505;186.0;1970-01-01T00:00:00Z;;
45.855313;10.988505;186.0;1970-01-01T00:00:00Z;;
45.855224;10.988443;185.8;1970-01-01T00:00:00Z;;
45.855051;10.988394;185.5;1970-01-01T00:00:00Z;;
45.854955;10.988398;185.2;1970-01-01T00:00:00Z;;
45.854878;10.988401;185.0;1970-01-01T00:00:00Z;;
45.854856;10.988386;185.0;1970-01-01T00:00:00Z;;
45.854893;10.988297;185.3;1970-01-01T00:00:00Z;;
45.854883;10.988195;185.6;1970-01-01T00:00:00Z;;
