Latitude;Longitude;Elevation;Time;Name;
45.806744;10.527744;365.5;1970-01-01T00:00:00Z;;
45.806801;10.527661;365.2;1970-01-01T00:00:00Z;;
45.806898;10.527599;364.8;1970-01-01T00:00:00Z;;
45.807016;10.527555;364.3;1970-01-01T00:00:00Z;;
45.807111;10.527562;364.1;1970-01-01T00:00:00Z;;
45.807189;10.52758;364.1;1970-01-01T00:00:00Z;;
45.807238;10.52763;364.2;1970-01-01T00:00:00Z;;
45.807287;10.527707;364.4;1970-01-01T00:00:00Z;;
45.80732;10.527799;364.7;1970-01-01T00:00:00Z;;
45.807358;10.527915;365.0;1970-01-01T00:00:00Z;;
45.807401;10.527954;365.2;1970-01-01T00:00:00Z;;
45.807464;10.527988;365.3;1970-01-01T00:00:00Z;;
45.807574;10.527994;365.3;1970-01-01T00:00:00Z;;
45.80765;10.52797;365.2;1970-01-01T00:00:00Z;;
45.807703;10.52797;365.2;1970-01-01T00:00:00Z;;
45.807755;10.528012;365.4;1970-01-01T00:00:00Z;;
45.807796;10.528085;365.8;1970-01-01T00:00:00Z;;
45.807842;10.528185;366.3;1970-01-01T00:00:00Z;;
45.807908;10.528289;366.8;1970-01-01T00:00:00Z;;
45.808032;10.528388;366.9;1970-01-01T00:00:00Z;;
45.808149;10.528476;366.8;1970-01-01T00:00:00Z;;
45.808281;10.528614;366.8;1970-01-01T00:00:00Z;;
45.808339;10.528771;367.0;1970-01-01T00:00:00Z;;
45.808377;10.528937;366.8;1970-01-01T00:00:00Z;;
45.808409;10.529076;366.8;1970-01-01T00:00:00Z;;
45.808444;10.529193;366.8;1970-01-01T00:00:00Z;;
45.808487;10.529297;366.7;1970-01-01T00:00:00Z;;
45.808522;10.529375;366.8;1970-01-01T00:00:00Z;;
45.808575;10.52948;366.9;1970-01-01T00:00:00Z;;
45.808654;10.529611;367.0;1970-01-01T00:00:00Z;;
45.808742;10.529755;367.0;1970-01-01T00:00:00Z;;
45.808822;10.52986;366.9;1970-01-01T00:00:00Z;;
45.808901;10.529965;366.7;1970-01-01T00:00:00Z;;
45.808963;10.530031;366.6;1970-01-01T00:00:00Z;;
45.80898;10.530109;366.6;1970-01-01T00:00:00Z;;
45.809006;10.530238;366.6;1970-01-01T00:00:00Z;;
45.809038;10.530471;366.7;1970-01-01T00:00:00Z;;
45.809063;10.530664;366.9;1970-01-01T00:00:00Z;;
45.809097;10.530846;367.1;1970-01-01T00:00:00Z;;
45.809122;10.530988;367.2;1970-01-01T00:00:00Z;;
45.809156;10.53113;367.4;1970-01-01T00:00:00Z;;
45.80919;10.531286;367.6;1970-01-01T00:00:00Z;;
45.809215;10.531415;367.8;1970-01-01T00:00:00Z;;
45.809232;10.531519;368.1;1970-01-01T00:00:00Z;;
45.809231;10.531596;368.3;1970-01-01T00:00:00Z;;
45.809238;10.531725;368.6;1970-01-01T00:00:00Z;;
45.809236;10.531828;368.8;1970-01-01T00:00:00Z;;
45.809235;10.531918;369.0;1970-01-01T00:00:00Z;;
45.809198;10.532316;369.5;1970-01-01T00:00:00Z;;
45.809136;10.532876;369.5;1970-01-01T00:00:00Z;;
45.809129;10.533081;369.2;1970-01-01T00:00:00Z;;
45.809114;10.533286;368.8;1970-01-01T00:00:00Z;;
45.809151;10.533749;368.0;1970-01-01T00:00:00Z;;
45.809224;10.534304;367.3;1970-01-01T00:00:00Z;;
45.809351;10.534818;367.3;1970-01-01T00:00:00Z;;
45.809469;10.535347;367.9;1970-01-01T00:00:00Z;;
45.80966;10.535847;368.7;1970-01-01T00:00:00Z;;
45.809854;10.536306;369.3;1970-01-01T00:00:00Z;;
