Latitude;Longitude;Elevation;Time;Name;
45.877551;10.745255;671.5;1970-01-01T00:00:00Z;;
45.87764;10.74546;670.0;1970-01-01T00:00:00Z;;
45.877753;10.745586;670.5;1970-01-01T00:00:00Z;;
45.877868;10.745667;671.5;1970-01-01T00:00:00Z;;
45.878003;10.74571;672.4;1970-01-01T00:00:00Z;;
45.878138;10.745689;674.1;1970-01-01T00:00:00Z;;
45.878247;10.745628;676.4;1970-01-01T00:00:00Z;;
45.878412;10.745452;681.9;1970-01-01T00:00:00Z;;
45.878532;10.745237;687.9;1970-01-01T00:00:00Z;;
45.878672;10.744919;696.1;1970-01-01T00:00:00Z;;
45.878767;10.7446;702.8;1970-01-01T00:00:00Z;;
45.878808;10.744279;705.0;1970-01-01T00:00:00Z;;
45.8788;10.743965;709.5;1970-01-01T00:00:00Z;;
45.878818;10.743571;713.6;1970-01-01T00:00:00Z;;
45.878832;10.743249;716.9;1970-01-01T00:00:00Z;;
45.878872;10.743005;717.9;1970-01-01T00:00:00Z;;
45.87897;10.742683;719.1;1970-01-01T00:00:00Z;;
45.879141;10.742358;719.6;1970-01-01T00:00:00Z;;
45.879332;10.742136;718.6;1970-01-01T00:00:00Z;;
45.879568;10.741987;716.4;1970-01-01T00:00:00Z;;
45.879786;10.741922;710.0;1970-01-01T00:00:00Z;;
45.880071;10.74169;707.3;1970-01-01T00:00:00Z;;
45.880245;10.741528;706.3;1970-01-01T00:00:00Z;;
45.880373;10.741377;706.9;1970-01-01T00:00:00Z;;
45.880466;10.741199;708.3;1970-01-01T00:00:00Z;;
45.880523;10.740982;710.6;1970-01-01T00:00:00Z;;
45.880629;10.740509;717.3;1970-01-01T00:00:00Z;;
45.88071;10.74002;720.9;1970-01-01T00:00:00Z;;
45.880848;10.73973;718.2;1970-01-01T00:00:00Z;;
45.88088;10.739436;720.4;1970-01-01T00:00:00Z;;
45.880994;10.739201;717.8;1970-01-01T00:00:00Z;;
45.881209;10.739071;709.6;1970-01-01T00:00:00Z;;
45.881337;10.738972;704.8;1970-01-01T00:00:00Z;;
45.881473;10.738873;699.3;1970-01-01T00:00:00Z;;
45.881583;10.73876;695.1;1970-01-01T00:00:00Z;;
45.881675;10.738647;690.1;1970-01-01T00:00:00Z;;
45.881759;10.738431;684.8;1970-01-01T00:00:00Z;;
45.881753;10.738237;684.2;1970-01-01T00:00:00Z;;
45.88166;10.737835;686.4;1970-01-01T00:00:00Z;;
45.881565;10.737574;688.2;1970-01-01T00:00:00Z;;
45.881478;10.737352;689.9;1970-01-01T00:00:00Z;;
45.881373;10.737181;693.1;1970-01-01T00:00:00Z;;
45.881276;10.737037;696.4;1970-01-01T00:00:00Z;;
45.881215;10.736906;698.9;1970-01-01T00:00:00Z;;
45.88119;10.73675;699.3;1970-01-01T00:00:00Z;;
45.881185;10.736505;697.9;1970-01-01T00:00:00Z;;
45.881199;10.736024;693.2;1970-01-01T00:00:00Z;;
45.881273;10.735057;686.3;1970-01-01T00:00:00Z;;
45.881257;10.734786;688.5;1970-01-01T00:00:00Z;;
45.881289;10.734438;692.1;1970-01-01T00:00:00Z;;
45.881286;10.734247;697.2;1970-01-01T00:00:00Z;;
45.881266;10.733757;711.0;1970-01-01T00:00:00Z;;
45.881285;10.733626;714.6;1970-01-01T00:00:00Z;;
45.881316;10.733524;716.6;1970-01-01T00:00:00Z;;
45.881381;10.733428;716.5;1970-01-01T00:00:00Z;;
45.881514;10.73331;713.4;1970-01-01T00:00:00Z;;
45.88168;10.733156;709.4;1970-01-01T00:00:00Z;;
45.881805;10.733036;706.2;1970-01-01T00:00:00Z;;
45.881981;10.732829;702.1;1970-01-01T00:00:00Z;;
