Latitude;Longitude;Elevation;Time;Name;
46.147452;11.795902;611.0;1970-01-01T00:00:00Z;;
46.147113;11.796161;610.1;1970-01-01T00:00:00Z;;
46.147059;11.796207;610.0;1970-01-01T00:00:00Z;;
46.147053;11.796213;610.0;1970-01-01T00:00:00Z;;
46.147007;11.796266;610.2;1970-01-01T00:00:00Z;;
46.147006;11.796268;610.2;1970-01-01T00:00:00Z;;
46.146983;11.796357;610.7;1970-01-01T00:00:00Z;;
46.146983;11.796363;610.7;1970-01-01T00:00:00Z;;
46.146985;11.79644;611.1;1970-01-01T00:00:00Z;;
46.147;11.796553;611.7;1970-01-01T00:00:00Z;;
46.147;11.796557;611.7;1970-01-01T00:00:00Z;;
46.147001;11.796564;611.8;1970-01-01T00:00:00Z;;
46.147023;11.796652;612.1;1970-01-01T00:00:00Z;;
46.147024;11.796663;612.2;1970-01-01T00:00:00Z;;
46.147024;11.796671;612.2;1970-01-01T00:00:00Z;;
46.147026;11.796679;612.3;1970-01-01T00:00:00Z;;
46.147051;11.796751;612.5;1970-01-01T00:00:00Z;;
46.14708;11.796854;612.9;1970-01-01T00:00:00Z;;
46.147104;11.796943;613.4;1970-01-01T00:00:00Z;;
46.147103;11.796942;613.4;1970-01-01T00:00:00Z;;
46.147135;11.797047;613.9;1970-01-01T00:00:00Z;;
46.147175;11.797123;614.2;1970-01-01T00:00:00Z;;
46.147228;11.797298;614.6;1970-01-01T00:00:00Z;;
46.147282;11.797476;615.0;1970-01-01T00:00:00Z;;
46.147444;11.798594;617.2;1970-01-01T00:00:00Z;;
46.1475;11.799049;618.2;1970-01-01T00:00:00Z;;
46.147151;11.799177;619.8;1970-01-01T00:00:00Z;;
46.147123;11.799233;620.2;1970-01-01T00:00:00Z;;
46.147253;11.800088;621.0;1970-01-01T00:00:00Z;;
46.147385;11.801084;621.0;1970-01-01T00:00:00Z;;
46.147474;11.801663;621.6;1970-01-01T00:00:00Z;;
46.147551;11.802112;622.2;1970-01-01T00:00:00Z;;
46.148201;11.804515;625.4;1970-01-01T00:00:00Z;;
46.148816;11.80626;627.0;1970-01-01T00:00:00Z;;
46.149098;11.807057;632.1;1970-01-01T00:00:00Z;;
46.149499;11.808219;630.7;1970-01-01T00:00:00Z;;
46.149813;11.809135;633.0;1970-01-01T00:00:00Z;;
46.15007;11.809833;633.2;1970-01-01T00:00:00Z;;
