Latitude;Longitude;Elevation;Time;Name;
46.056304;10.815534;489.1;1970-01-01T00:00:00Z;;
46.056305;10.815496;489.8;1970-01-01T00:00:00Z;;
46.056279;10.81543;490.4;1970-01-01T00:00:00Z;;
46.056136;10.815335;489.8;1970-01-01T00:00:00Z;;
46.05586;10.815145;487.5;1970-01-01T00:00:00Z;;
46.055539;10.814966;481.6;1970-01-01T00:00:00Z;;
46.055289;10.814829;476.7;1970-01-01T00:00:00Z;;
46.055093;10.814719;473.3;1970-01-01T00:00:00Z;;
46.055031;10.814627;472.5;1970-01-01T00:00:00Z;;
46.054944;10.814456;470.3;1970-01-01T00:00:00Z;;
46.054949;10.814258;469.7;1970-01-01T00:00:00Z;;
46.054985;10.814159;470.0;1970-01-01T00:00:00Z;;
46.055101;10.813826;470.0;1970-01-01T00:00:00Z;;
46.055197;10.813699;470.3;1970-01-01T00:00:00Z;;
46.055281;10.813458;469.4;1970-01-01T00:00:00Z;;
46.05537;10.813207;468.1;1970-01-01T00:00:00Z;;
46.055536;10.812726;467.5;1970-01-01T00:00:00Z;;
46.055658;10.812442;467.9;1970-01-01T00:00:00Z;;
46.055752;10.812314;468.4;1970-01-01T00:00:00Z;;
46.055885;10.812135;468.7;1970-01-01T00:00:00Z;;
46.055951;10.81203;468.8;1970-01-01T00:00:00Z;;
46.056007;10.811946;469.2;1970-01-01T00:00:00Z;;
46.05603;10.811859;469.1;1970-01-01T00:00:00Z;;
46.056034;10.811746;468.6;1970-01-01T00:00:00Z;;
46.056021;10.81168;468.2;1970-01-01T00:00:00Z;;
46.055962;10.811583;467.2;1970-01-01T00:00:00Z;;
46.055861;10.811414;465.7;1970-01-01T00:00:00Z;;
46.055796;10.811264;464.8;1970-01-01T00:00:00Z;;
46.055693;10.810964;463.6;1970-01-01T00:00:00Z;;
46.055661;10.810691;463.2;1970-01-01T00:00:00Z;;
46.055616;10.810108;463.0;1970-01-01T00:00:00Z;;
46.05557;10.809615;463.3;1970-01-01T00:00:00Z;;
46.055582;10.809435;463.5;1970-01-01T00:00:00Z;;
46.055667;10.809032;464.0;1970-01-01T00:00:00Z;;
46.055773;10.808632;464.6;1970-01-01T00:00:00Z;;
46.055899;10.808152;464.6;1970-01-01T00:00:00Z;;
46.056001;10.807707;464.7;1970-01-01T00:00:00Z;;
46.056047;10.807435;464.9;1970-01-01T00:00:00Z;;
46.056071;10.806982;464.7;1970-01-01T00:00:00Z;;
46.056114;10.806517;463.6;1970-01-01T00:00:00Z;;
46.056175;10.806054;462.2;1970-01-01T00:00:00Z;;
46.056218;10.805629;460.8;1970-01-01T00:00:00Z;;
46.056235;10.805242;460.2;1970-01-01T00:00:00Z;;
46.056225;10.805051;460.4;1970-01-01T00:00:00Z;;
46.056223;10.804866;460.6;1970-01-01T00:00:00Z;;
46.056206;10.804116;462.0;1970-01-01T00:00:00Z;;
46.056193;10.803223;464.0;1970-01-01T00:00:00Z;;
46.056189;10.802319;464.7;1970-01-01T00:00:00Z;;
46.056188;10.80184;465.0;1970-01-01T00:00:00Z;;
46.056194;10.801453;465.5;1970-01-01T00:00:00Z;;
46.056182;10.80127;465.7;1970-01-01T00:00:00Z;;
46.056129;10.800932;465.5;1970-01-01T00:00:00Z;;
46.056051;10.800603;465.2;1970-01-01T00:00:00Z;;
46.05596;10.800299;465.1;1970-01-01T00:00:00Z;;
46.055864;10.800064;465.1;1970-01-01T00:00:00Z;;
46.055698;10.799712;464.6;1970-01-01T00:00:00Z;;
46.055623;10.799484;464.5;1970-01-01T00:00:00Z;;
46.055565;10.799105;465.2;1970-01-01T00:00:00Z;;
46.055542;10.798791;465.9;1970-01-01T00:00:00Z;;
46.055525;10.798294;467.9;1970-01-01T00:00:00Z;;
46.055478;10.797954;468.7;1970-01-01T00:00:00Z;;
46.055497;10.797732;469.2;1970-01-01T00:00:00Z;;
46.055525;10.797656;469.7;1970-01-01T00:00:00Z;;
46.055634;10.797582;471.5;1970-01-01T00:00:00Z;;
46.055789;10.797444;474.4;1970-01-01T00:00:00Z;;
46.055928;10.797191;477.5;1970-01-01T00:00:00Z;;
46.055993;10.797051;479.0;1970-01-01T00:00:00Z;;
46.056015;10.796818;479.3;1970-01-01T00:00:00Z;;
46.056047;10.796535;479.6;1970-01-01T00:00:00Z;;
46.056095;10.796278;480.2;1970-01-01T00:00:00Z;;
46.056118;10.796157;481.0;1970-01-01T00:00:00Z;;
46.056122;10.795967;481.8;1970-01-01T00:00:00Z;;
46.056076;10.795773;481.6;1970-01-01T00:00:00Z;;
46.056061;10.795645;481.7;1970-01-01T00:00:00Z;;
46.056107;10.795542;483.1;1970-01-01T00:00:00Z;;
46.056125;10.795542;483.5;1970-01-01T00:00:00Z;;
46.056119;10.795361;484.3;1970-01-01T00:00:00Z;;
46.056049;10.794673;487.1;1970-01-01T00:00:00Z;;
46.056017;10.794401;489.0;1970-01-01T00:00:00Z;;
46.055932;10.794062;490.2;1970-01-01T00:00:00Z;;
46.055734;10.793487;489.0;1970-01-01T00:00:00Z;;
46.055622;10.793173;487.6;1970-01-01T00:00:00Z;;
46.05543;10.792831;482.6;1970-01-01T00:00:00Z;;
46.055308;10.792529;483.7;1970-01-01T00:00:00Z;;
46.055161;10.792163;484.2;1970-01-01T00:00:00Z;;
46.055057;10.79194;483.4;1970-01-01T00:00:00Z;;
46.054952;10.791729;482.1;1970-01-01T00:00:00Z;;
46.054893;10.791469;482.0;1970-01-01T00:00:00Z;;
46.054782;10.791064;480.2;1970-01-01T00:00:00Z;;
46.054723;10.790804;478.8;1970-01-01T00:00:00Z;;
46.0547;10.790584;478.4;1970-01-01T00:00:00Z;;
