Latitude;Longitude;Elevation;Time;Name;
45.920831;10.889725;94.7;1970-01-01T00:00:00Z;;
45.920884;10.889779;94.2;1970-01-01T00:00:00Z;;
45.921098;10.889915;93.0;1970-01-01T00:00:00Z;;
45.92141;10.890119;91.3;1970-01-01T00:00:00Z;;
45.92187;10.890573;87.2;1970-01-01T00:00:00Z;;
45.922162;10.890905;87.2;1970-01-01T00:00:00Z;;
45.922347;10.891144;87.2;1970-01-01T00:00:00Z;;
45.922602;10.891514;87.6;1970-01-01T00:00:00Z;;
45.92277;10.8917;87.4;1970-01-01T00:00:00Z;;
45.92301;10.89185;87.0;1970-01-01T00:00:00Z;;
45.923171;10.89192;87.1;1970-01-01T00:00:00Z;;
45.923493;10.892034;87.5;1970-01-01T00:00:00Z;;
45.923309;10.892866;88.0;1970-01-01T00:00:00Z;;
45.92338;10.892907;87.9;1970-01-01T00:00:00Z;;
45.923497;10.892911;87.6;1970-01-01T00:00:00Z;;
45.923615;10.892863;87.3;1970-01-01T00:00:00Z;;
45.923669;10.892865;87.2;1970-01-01T00:00:00Z;;
45.924037;10.892904;86.7;1970-01-01T00:00:00Z;;
45.924414;10.892955;86.3;1970-01-01T00:00:00Z;;
45.924602;10.893;86.2;1970-01-01T00:00:00Z;;
45.924799;10.89311;86.9;1970-01-01T00:00:00Z;;
45.924897;10.893165;87.1;1970-01-01T00:00:00Z;;
45.925128;10.893353;87.7;1970-01-01T00:00:00Z;;
45.925305;10.893489;87.9;1970-01-01T00:00:00Z;;
45.925572;10.893678;88.0;1970-01-01T00:00:00Z;;
45.925823;10.893777;88.0;1970-01-01T00:00:00Z;;
45.926092;10.893825;88.1;1970-01-01T00:00:00Z;;
45.926415;10.893862;87.9;1970-01-01T00:00:00Z;;
45.926667;10.89387;87.6;1970-01-01T00:00:00Z;;
45.926948;10.893777;87.2;1970-01-01T00:00:00Z;;
45.927129;10.893679;87.5;1970-01-01T00:00:00Z;;
45.92733;10.893544;88.5;1970-01-01T00:00:00Z;;
45.927457;10.893472;88.8;1970-01-01T00:00:00Z;;
45.927583;10.89345;88.9;1970-01-01T00:00:00Z;;
45.928498;10.893623;87.5;1970-01-01T00:00:00Z;;
45.928589;10.893587;87.2;1970-01-01T00:00:00Z;;
45.929133;10.893374;87.8;1970-01-01T00:00:00Z;;
45.929286;10.893379;88.3;1970-01-01T00:00:00Z;;
45.929716;10.893458;89.3;1970-01-01T00:00:00Z;;
45.930075;10.893561;89.4;1970-01-01T00:00:00Z;;
45.930505;10.893678;89.1;1970-01-01T00:00:00Z;;
45.930746;10.893764;87.9;1970-01-01T00:00:00Z;;
45.930871;10.893859;87.7;1970-01-01T00:00:00Z;;
45.931155;10.894075;87.5;1970-01-01T00:00:00Z;;
45.931378;10.894211;88.1;1970-01-01T00:00:00Z;;
45.93153;10.894268;88.7;1970-01-01T00:00:00Z;;
45.931951;10.894373;89.9;1970-01-01T00:00:00Z;;
45.932444;10.894518;90.7;1970-01-01T00:00:00Z;;
45.932614;10.894563;90.7;1970-01-01T00:00:00Z;;
45.933063;10.89463;91.2;1970-01-01T00:00:00Z;;
45.933287;10.894689;91.4;1970-01-01T00:00:00Z;;
45.933708;10.894807;91.5;1970-01-01T00:00:00Z;;
45.934031;10.894908;91.6;1970-01-01T00:00:00Z;;
45.934119;10.895001;91.7;1970-01-01T00:00:00Z;;
45.934279;10.89511;91.9;1970-01-01T00:00:00Z;;
45.934377;10.895177;92.2;1970-01-01T00:00:00Z;;
45.93444;10.895205;92.4;1970-01-01T00:00:00Z;;
45.934908;10.895183;92.3;1970-01-01T00:00:00Z;;
45.935042;10.895226;92.0;1970-01-01T00:00:00Z;;
45.935167;10.895282;91.8;1970-01-01T00:00:00Z;;
45.935336;10.895442;91.3;1970-01-01T00:00:00Z;;
45.935585;10.895631;92.0;1970-01-01T00:00:00Z;;
45.935762;10.895805;93.0;1970-01-01T00:00:00Z;;
45.935993;10.895955;94.1;1970-01-01T00:00:00Z;;
45.936232;10.896195;95.7;1970-01-01T00:00:00Z;;
45.93648;10.896462;95.2;1970-01-01T00:00:00Z;;
45.936576;10.896607;95.0;1970-01-01T00:00:00Z;;
45.936619;10.896776;95.0;1970-01-01T00:00:00Z;;
45.936651;10.896997;95.0;1970-01-01T00:00:00Z;;
45.936665;10.897203;94.9;1970-01-01T00:00:00Z;;
45.936724;10.897463;94.5;1970-01-01T00:00:00Z;;
45.936784;10.897646;94.2;1970-01-01T00:00:00Z;;
45.936879;10.897894;94.0;1970-01-01T00:00:00Z;;
45.937168;10.898382;92.6;1970-01-01T00:00:00Z;;
45.937387;10.898724;92.5;1970-01-01T00:00:00Z;;
45.937599;10.899016;94.1;1970-01-01T00:00:00Z;;
45.937863;10.899334;95.0;1970-01-01T00:00:00Z;;
45.937987;10.899467;95.2;1970-01-01T00:00:00Z;;
45.938147;10.899589;95.6;1970-01-01T00:00:00Z;;
45.938458;10.899832;96.2;1970-01-01T00:00:00Z;;
45.938662;10.900019;96.0;1970-01-01T00:00:00Z;;
45.938902;10.900208;95.5;1970-01-01T00:00:00Z;;
45.939098;10.900305;95.3;1970-01-01T00:00:00Z;;
45.939447;10.900408;95.0;1970-01-01T00:00:00Z;;
45.939725;10.900507;94.9;1970-01-01T00:00:00Z;;
45.940049;10.900505;94.5;1970-01-01T00:00:00Z;;
45.940355;10.900464;94.1;1970-01-01T00:00:00Z;;
45.940645;10.900384;94.3;1970-01-01T00:00:00Z;;
45.940898;10.900302;94.7;1970-01-01T00:00:00Z;;
45.941034;10.900268;95.0;1970-01-01T00:00:00Z;;
45.941197;10.900222;95.4;1970-01-01T00:00:00Z;;
45.941476;10.900219;96.1;1970-01-01T00:00:00Z;;
45.941809;10.90023;97.0;1970-01-01T00:00:00Z;;
45.94188;10.900232;97.2;1970-01-01T00:00:00Z;;
45.941953;10.900196;97.7;1970-01-01T00:00:00Z;;
45.942052;10.9002;98.0;1970-01-01T00:00:00Z;;
45.942267;10.900233;98.1;1970-01-01T00:00:00Z;;
45.942393;10.900289;97.6;1970-01-01T00:00:00Z;;
45.942508;10.900383;96.5;1970-01-01T00:00:00Z;;
45.942693;10.900609;96.5;1970-01-01T00:00:00Z;;
45.94294;10.900927;97.4;1970-01-01T00:00:00Z;;
45.943178;10.901219;98.3;1970-01-01T00:00:00Z;;
45.943743;10.901896;98.2;1970-01-01T00:00:00Z;;
45.944;10.902163;98.5;1970-01-01T00:00:00Z;;
45.944338;10.902394;99.0;1970-01-01T00:00:00Z;;
45.944633;10.90252;99.5;1970-01-01T00:00:00Z;;
45.944981;10.902674;99.8;1970-01-01T00:00:00Z;;
45.945464;10.902845;100.1;1970-01-01T00:00:00Z;;
45.945886;10.902898;100.1;1970-01-01T00:00:00Z;;
45.946237;10.902897;100.1;1970-01-01T00:00:00Z;;
45.94669;10.902758;100.4;1970-01-01T00:00:00Z;;
45.947017;10.902576;101.7;1970-01-01T00:00:00Z;;
45.947345;10.902342;103.8;1970-01-01T00:00:00Z;;
45.947683;10.902044;105.7;1970-01-01T00:00:00Z;;
45.947828;10.901971;106.4;1970-01-01T00:00:00Z;;
