Latitude;Longitude;Elevation;Time;Name;
46.207323;11.12851;212.0;;Mezzocorona FS;
45.699918;10.928756;128.2;;Borghetto FS;
45.758993;10.996446;147.5;;Ala FS;
45.733468;10.956151;139.6;;Avio FS;
46.148129;11.09626;215.3;;Lavis FS;
45.861174;11.002435;167.9;;Mori FS;
45.890708;11.034078;179.0;;Rovereto FS;
46.245418;11.202913;211.5;;Salorno FS;
45.80836;11.015193;146.5;;Serravalle all'Adige FS;
46.072045;11.119147;194.0;;Trento FS;
45.927289;11.079066;0.0;;Bicigrill Nomi;
46.231029;11.176574;218.7;1970-01-01T00:00:00Z;;
46.230767;11.176321;219.3;1970-01-01T00:00:00Z;;
46.230381;11.17581;220.4;1970-01-01T00:00:00Z;;
46.229359;11.174064;221.7;1970-01-01T00:00:00Z;;
46.2285;11.172683;215.6;1970-01-01T00:00:00Z;;
46.227832;11.17159;210.2;1970-01-01T00:00:00Z;;
46.227483;11.170932;210.6;1970-01-01T00:00:00Z;;
46.227038;11.169882;208.1;1970-01-01T00:00:00Z;;
46.226835;11.169233;209.6;1970-01-01T00:00:00Z;;
46.22672;11.168857;210.5;1970-01-01T00:00:00Z;;
46.226695;11.168652;210.9;1970-01-01T00:00:00Z;;
46.226655;11.168504;211.6;1970-01-01T00:00:00Z;;
46.226605;11.168376;212.2;1970-01-01T00:00:00Z;;
46.226531;11.168051;213.2;1970-01-01T00:00:00Z;;
46.226467;11.167644;213.4;1970-01-01T00:00:00Z;;
46.226422;11.16739;213.3;1970-01-01T00:00:00Z;;
46.226365;11.167378;213.7;1970-01-01T00:00:00Z;;
46.226298;11.167382;214.1;1970-01-01T00:00:00Z;;
46.226164;11.16741;216.0;1970-01-01T00:00:00Z;;
46.226147;11.167355;216.2;1970-01-01T00:00:00Z;;
46.22613;11.167265;216.4;1970-01-01T00:00:00Z;;
46.226095;11.167044;216.7;1970-01-01T00:00:00Z;;
46.226047;11.166844;217.2;1970-01-01T00:00:00Z;;
46.226009;11.166761;217.6;1970-01-01T00:00:00Z;;
46.225985;11.166621;217.7;1970-01-01T00:00:00Z;;
46.225989;11.166363;217.0;1970-01-01T00:00:00Z;;
46.225992;11.166161;216.1;1970-01-01T00:00:00Z;;
46.226016;11.166025;215.0;1970-01-01T00:00:00Z;;
46.226006;11.165924;214.4;1970-01-01T00:00:00Z;;
46.225972;11.165733;213.5;1970-01-01T00:00:00Z;;
46.225934;11.165558;212.5;1970-01-01T00:00:00Z;;
46.225879;11.165358;211.7;1970-01-01T00:00:00Z;;
46.225879;11.165216;211.5;1970-01-01T00:00:00Z;;
46.225879;11.164894;211.0;1970-01-01T00:00:00Z;;
46.225845;11.164619;210.6;1970-01-01T00:00:00Z;;
46.225821;11.164379;210.1;1970-01-01T00:00:00Z;;
46.225828;11.164078;209.6;1970-01-01T00:00:00Z;;
46.225866;11.163613;208.9;1970-01-01T00:00:00Z;;
46.225945;11.163011;208.1;1970-01-01T00:00:00Z;;
46.22606;11.162359;207.0;1970-01-01T00:00:00Z;;
46.226155;11.161759;206.2;1970-01-01T00:00:00Z;;
46.226208;11.161261;205.1;1970-01-01T00:00:00Z;;
46.226251;11.159985;208.0;1970-01-01T00:00:00Z;;
46.226262;11.158982;207.3;1970-01-01T00:00:00Z;;
46.22626;11.157948;205.1;1970-01-01T00:00:00Z;;
46.226196;11.157026;206.3;1970-01-01T00:00:00Z;;
46.226138;11.156434;207.6;1970-01-01T00:00:00Z;;
46.226022;11.155872;207.8;1970-01-01T00:00:00Z;;
46.225873;11.155205;207.2;1970-01-01T00:00:00Z;;
46.225798;11.154904;206.2;1970-01-01T00:00:00Z;;
46.225662;11.154458;205.2;1970-01-01T00:00:00Z;;
46.22551;11.153933;206.0;1970-01-01T00:00:00Z;;
46.225364;11.153525;205.5;1970-01-01T00:00:00Z;;
46.2252;11.153169;204.8;1970-01-01T00:00:00Z;;
46.225035;11.152877;204.5;1970-01-01T00:00:00Z;;
46.224887;11.152599;205.2;1970-01-01T00:00:00Z;;
46.224755;11.152425;205.5;1970-01-01T00:00:00Z;;
46.22457;11.152197;205.8;1970-01-01T00:00:00Z;;
46.224412;11.152023;205.1;1970-01-01T00:00:00Z;;
46.224164;11.151793;203.8;1970-01-01T00:00:00Z;;
46.223721;11.151412;202.8;1970-01-01T00:00:00Z;;
46.223332;11.15106;203.6;1970-01-01T00:00:00Z;;
46.221306;11.149326;204.6;1970-01-01T00:00:00Z;;
46.220807;11.148938;204.2;1970-01-01T00:00:00Z;;
46.220566;11.148799;204.1;1970-01-01T00:00:00Z;;
46.219783;11.148341;205.5;1970-01-01T00:00:00Z;;
46.219631;11.14827;206.0;1970-01-01T00:00:00Z;;
46.219238;11.148138;206.7;1970-01-01T00:00:00Z;;
46.218531;11.147929;206.7;1970-01-01T00:00:00Z;;
46.218181;11.14785;206.3;1970-01-01T00:00:00Z;;
46.217336;11.147792;204.7;1970-01-01T00:00:00Z;;
46.215888;11.147735;205.0;1970-01-01T00:00:00Z;;
46.214394;11.147683;205.0;1970-01-01T00:00:00Z;;
46.212955;11.14766;202.7;1970-01-01T00:00:00Z;;
46.211741;11.147625;204.2;1970-01-01T00:00:00Z;;
46.21157;11.147606;203.6;1970-01-01T00:00:00Z;;
46.211149;11.147537;202.7;1970-01-01T00:00:00Z;;
46.210853;11.147474;203.2;1970-01-01T00:00:00Z;;
