Latitude;Longitude;Elevation;Time;Name;
46.054773;11.133803;211.9;;Trento Gocciadoro;
46.045797;11.139156;273.1;;Villazzano;
45.965351;11.70095;215.5;;Primolano;
45.990351;11.669013;231.1;;Tezze;
46.015152;11.624928;264.1;;Grigno;
46.050771;11.514556;351.4;;Strigno;
46.051417;11.453404;394.7;;Borgo Centro;
46.051914;11.463004;399.3;;Borgo Est;
46.033058;11.394015;447.1;;Roncegno-Bagni Marter;
46.00583;11.304873;458.5;;Levico;
45.997201;11.264893;466.6;;Caldonazzo;
46.063196;11.23163;463.0;;Pergine;
46.00731;11.240407;459.8;;Calceranica;
46.039728;11.233847;451.8;;S.Cristoforo-Ischia;
46.066145;11.142218;337.5;;Povo-Mesiano;
46.046459;11.134649;199.1;;S.Bartolomeo;
46.05302;11.452077;384.0;1970-01-01T00:00:00Z;;
46.052847;11.45132;385.8;1970-01-01T00:00:00Z;;
46.052624;11.450366;384.0;1970-01-01T00:00:00Z;;
46.052427;11.449479;384.6;1970-01-01T00:00:00Z;;
46.052123;11.448147;384.2;1970-01-01T00:00:00Z;;
46.05181;11.446801;386.0;1970-01-01T00:00:00Z;;
46.051669;11.446226;386.9;1970-01-01T00:00:00Z;;
46.051661;11.446161;386.7;1970-01-01T00:00:00Z;;
46.051297;11.444672;385.7;1970-01-01T00:00:00Z;;
46.051141;11.443992;386.4;1970-01-01T00:00:00Z;;
46.051091;11.443796;386.6;1970-01-01T00:00:00Z;;
46.050968;11.443248;387.9;1970-01-01T00:00:00Z;;
46.050612;11.441797;389.9;1970-01-01T00:00:00Z;;
46.050447;11.441079;389.0;1970-01-01T00:00:00Z;;
46.05043;11.441014;388.8;1970-01-01T00:00:00Z;;
46.050298;11.440465;388.2;1970-01-01T00:00:00Z;;
46.050165;11.439955;389.8;1970-01-01T00:00:00Z;;
46.050108;11.439681;390.6;1970-01-01T00:00:00Z;;
46.050109;11.439642;390.6;1970-01-01T00:00:00Z;;
46.049949;11.439118;391.8;1970-01-01T00:00:00Z;;
46.04953;11.437665;388.7;1970-01-01T00:00:00Z;;
46.049354;11.43705;387.5;1970-01-01T00:00:00Z;;
46.049152;11.436407;386.8;1970-01-01T00:00:00Z;;
46.049043;11.436002;387.0;1970-01-01T00:00:00Z;;
46.048925;11.435648;387.5;1970-01-01T00:00:00Z;;
46.048559;11.434662;388.7;1970-01-01T00:00:00Z;;
46.048312;11.434005;388.5;1970-01-01T00:00:00Z;;
46.048081;11.433426;388.1;1970-01-01T00:00:00Z;;
46.047431;11.43182;392.4;1970-01-01T00:00:00Z;;
46.04696;11.430701;393.3;1970-01-01T00:00:00Z;;
46.046806;11.430345;392.5;1970-01-01T00:00:00Z;;
46.046618;11.429846;392.9;1970-01-01T00:00:00Z;;
46.046558;11.429701;392.9;1970-01-01T00:00:00Z;;
46.046558;11.429701;392.9;1970-01-01T00:00:00Z;;
46.046402;11.429837;392.2;1970-01-01T00:00:00Z;;
46.046232;11.429403;392.4;1970-01-01T00:00:00Z;;
46.046154;11.429231;392.8;1970-01-01T00:00:00Z;;
46.045999;11.429328;392.5;1970-01-01T00:00:00Z;;
46.045897;11.429064;393.0;1970-01-01T00:00:00Z;;
46.045657;11.428511;393.9;1970-01-01T00:00:00Z;;
46.045537;11.428196;394.5;1970-01-01T00:00:00Z;;
46.045228;11.427471;394.1;1970-01-01T00:00:00Z;;
46.045032;11.426972;394.4;1970-01-01T00:00:00Z;;
