Id del ;Strada ;Comune ;Note ;Km da ;Km a 
494;SS 12;ALA;Serravalle all'Adige;342,64;344,015
499;SP 90 1°tronco;ALA;S. Cecilia;17,31;18,03
498;SP 22;ALA;Chizzola;0;0,2
495;SP 90 1°tronco;ALA;Pilcante;10,565;11,37
493;SP 90 1°tronco dir Ala;ALA;Ala;0,27;0,63
500;SP 211;ALA;Sdruzzina';0,065;0,4
496;SP 90 1°tronco;ALA;Santa Lucia;14,085;14,79
492;SS 12;ALA;Ala;336,588;338,8
497;SP 90 1°tronco;ALA;Chizzola;16,546;17,31
129;SP 76;ALBIANO;(Nessuno);10,627;13,078
698;SP 25;ALDENO;(Nessuno);0;0,679
130;SP 26 dir;AMBLAR;(Nessuno);0,052;0,168
699;SP 64;ANDALO;(Nessuno);15,36;17,002
700;SS 421;ANDALO;(Nessuno);14,02;15,5
8;SS 240 dir;ARCO;Bolognano-Vignole;3,75;4,7
7;SS 249;ARCO;Arco-zona industriale;99;100,4
132;SP 48;ARCO;Bolognano-Vignole;0;0,85
5;SS 45 bis;ARCO;Arco;116,8;120,2
131;SP 36;ARCO;Arco;1,73;4,396
133;SP 118;ARCO;S. Giorgio;2,15;3,75
6;SS 240 dir;ARCO;Arco;5;5,63
134;SP 90 1°tronco;AVIO;Mama d'Avio;0;1,2
136;SP 208;AVIO;Avio;0;1,2
135;SP 90 1°tronco;AVIO;Avio-Sabbionara;3,2;6,65
137;SP 27;BERSONE;Bersone;5,726;6,4
551;SS 350;BESENELLO;DietroBeseno;2,125;2,758
550;SP 49;BESENELLO;Besenello;0;1,778
440;SP 119 dir;BEZZECCA;(Nessuno);0,44;0,942
439;SS 240;BEZZECCA;(Nessuno);34,36;35,25
139;SP 78;BIENO;(Nessuno);6,656;7,37
145;SP 5;BLEGGIO SUPERIORE;frazione S. Croce;3,517;4,079
512;SP 5;BLEGGIO SUPERIORE;Santa Croce;3,517;4,079
515;SP 222;BLEGGIO SUPERIORE;Marazzone;1,12;1,63
513;SP 5;BLEGGIO SUPERIORE;Madice;4,079;4,535
146;SP 5;BLEGGIO SUPERIORE;frazione Madice;4,197;4,535
147;SP 5;BLEGGIO SUPERIORE;frazione Cavrasto;5,75;6,1
360;SP 222;BLEGGIO SUPERIORE;frazione Marazzone;1,12;1,63
426;SP 5;BLEGGIO SUPERIORE;frazione Santa Croce;3,517;4,079
428;SP 5;BLEGGIO SUPERIORE;frazione Cavrasto;5,75;6,1
427;SP 5;BLEGGIO SUPERIORE;frazione Madice;4,197;4,535
514;SP 5;BLEGGIO SUPERIORE;Cavrasto;5,75;6,1
148;SP 236;BOCENAGO;Bocenago;2,267;3,402
457;SP 222;BOLBENO;modifica caposaldi S.P. 222;11,025;11,49
361;SP 222;BOLBENO;Bolbeno;9,706;10,165
17;SS 237;BONDO;Bondo;79,73;80,85
150;SP 69;BONDONE;frazione Baitoni;4,8;6
151;SP 69;BONDONE;frazione Bondone;10;10,66
154;SP 244;BORGO VALSUGANA;(Nessuno);0;0,9
155;SP 110;BORGO VALSUGANA;(Nessuno);0;0,885
