Manufacturer,Model,Top speed,Acceleration,Capacity(adults and children),Charging time,Nominal range,Market release date and sales
Audi,Audi e-tron (2018),200 km/h (124 mph),6.6 s,5,8.5 hours,328 km (204 mi),2019
BMW,i3,150 km/h (93 mph),8 s,4,4h - 6h with the 240 V charging unit or 30 – 40 minutes at public DC charging stations (when charging from 0 to 80%),246 km (153 mi)[1] MY 2019 (120 A·h) (EPA)     183 km (114 mi)[2] MY 2017/18 (94 A·h) (EPA)130 km (81 mi)[2]MY 2014/17 (60 A·h) (EPA),"Released in Europe in 2013 and in 2014 in the U.S.A gasoline-powered range extender option is available to increased range to 240 km (150 mi) (EPA rating).[3]Starting with the model year 2017, released in July 2016, two battery options are available, 94 A·h and 60 A·h.[2] For the 2019 model year, a larger 120 A·h battery became the only option, and the Range Extender was discontinued in some markets.[1]"
BMW Brilliance,Zinoro 1E,130 km/h (81 mph),7.6 s,4 or 5 depending on size of passenger,,150 km (93 mi)[4],Released in China in early 2014.[5]
Bolloré,Bluecar,130 km/h (81 mph),,4,,250 km (160 mi) in urban use150 km (93 mi) on highway,"Launched in France in 2011. Cumulative sales totaled 5,524 in France as of July 2016.[6]"
BYD,e6,140 km/h (87 mph)[7],8 s,5[8],2h (VTOG 30 kW AC charging) 8—9h (SAE Level 2 AC charging),300 km (186 mi),"Sales to the general public began in October, 2011, in Shenzhen, China.  Cumulative sales in China totaled 34,862 units through December 2016."
Chery,QQ3 EV,,,,,100 km (62 mi),Launched in China in March 2010
Chevrolet,Bolt EV,150 km/h (93 mph) (speed limited),6.5 s,5,,383 km (238 mi),"Production started in October 2016, deliveries started in late 2016[9]"
Chevrolet,Spark EV,130 km/h (81 mph),7.3 s,4,8 hours @ 240 V AC 20 hours @ 120 V AC 30 min to 80% with DC fast charge,130 km (81 mi),2013 - 2017
Citroën,C-Zero,130 km/h (81 mph),15.9 s,4,7 hours when charged from household; 30 minutes when charging from a quick charger system[10],150 km (93 mi),Rebranded Mitsubishi i-MiEV; since 2010 Available in Europe
COURB,C-ZEN,110 km/h (68 mph)[11],,2,5–7 hours,130–116 km (81–72 mi),September 2014
ElectraMeccanica,Solo,132 km/h (82 mph) (limited),8s [12],1,"3 hours at 240 V, 6 hours at 120 V",161 km (100 mi),2018[13]
Fiat,500e,142 km/h (88 mph),8.5 s,,,140 km (87 mi),2013; Available in California and Oregon only
Ford,Focus Electric,135 km/h (84 mph),9.9 s,5,"30 hours when charged from 120 V, 5.5 hours when charged from 240 V and 0.5 hours charge to 80% with DC Fast Charge[14]",185 km (115 mi)[15],Available in the U.S. since December 2011; available in Europe since August 2013.[16]
Girfalco,Azkarra,,,2,,,"Announced November 22, 2016; Concept unveil on December 2, 2016; First deliveries in the Spring of 2017"
Honda,Fit EV,148 km/h (92 mph),9.5 s,,,132 km (82 mi),"For lease only, in some US states since 2013. Discontinued in 2014."
Honda,Clarity Electric,,7.7 s,,,143 km (89 mi),"For lease only, in some US states since 2017."
Hyundai,Ioniq Electric,185 km/h (115 mph),9.9 s[17],4,"4 hours when charged from 240 V outlet. DC Fast Charging, 33 minutes for an 80% charge at 50 kW and 24 minutes at 100 kW[18]",169–250 km (105–155 mi),"Production commenced in late 2016, with sales commencing in 2017"
Hyundai,Kona Electric,167 km/h (104 mph)[19],6.4 s[20],5,,470 km (292 mi) (WLTP),"Presented on Geneva Motor Show 2018, sales starting summer 2018[21]"
JAC Motors,JAC J3 EV,120 km/h  130 km/h,11.5 s,5,12 hours (1.5h (80%) / 11.5h (100%)),170 km  300 km @ 60 km/h,Launched in China in 2010  China 2016
Jaguar Land Rover,Jaguar I-Pace,"200 km/h (124 mph), electronically limited",4.8 s,5,,350 km (215 miles) (EPA),2018
Kewet,Buddy,80 km/h (50 mph),,3[22],6–8 hours,040–080 km (25–50 mi),January 2010
Kia,Soul EV,145 km/h (90 mph),11.2,5,"4–5 hours (208 V - 6.6 kW: 4h 50min, 240 V - 6.6 kW: 4h 10min.)Type 3: 33 minutes for up to 80%. Type 1: Up to 24 hours",150 km (93 mi) EPA,2014
Kia,e-Niro,,7 s[23],5,,455 km (283 mi) (long range)289 km (180 mi) (mid range)[24],
Kyburz,Race,140 km/h,4 s,2,0-100% in under 4 hours,220 km (137 mi),2016
Lightning,Lightning GT,200 km/h (124 mph),5 s,2,under an hour,240 km (149 mi),2013
Mahindra,e2o plus,82 km/h (51 mph),,4,"5 – 8 hours (Home socket: 220 V, 16 A), 1.5 hours (Fast Charge: Commercial 3-phase AC, up to 12 kW)",110–140 km (68–87 mi),November 2016[25]
Mahindra,e-Verito,85 km/h (53 mph),,5,"6 – 8 hours (Home Socket: 220 V, 16 A), 2.01 hours (Fast Charging: with 15 kW charger)",110–180 km (68–112 mi),January 2017[26]
