Name,Description,Manufacture,Design,
8 Fun,A Chinese Giant now with direct UK sales doing both kits and whole bikes.,China,China,
Aerobic Cruiser,"A range of semi-recumbent machines from a firm in Memphis, US.",–,–,–
AGOGS,"Czech-based company with Chinese made hub motor machines, selling in central and western Europe. Bikes are based on well-known Bafang motor  systems. AGOGS also act as resellers of Protanium bikes.",China,China,
Aima,Apparently Chinas fourth largest manufacturer of electric bikes,China,China,
Akkurad,Manufacturer of electric-assist velo mobiles and add-on kits.,Various,Germany,
Ampler,"UNDER DEVELOPMENT – DUE AUG 2016
 Single speed bikes with a claimed weight of 14-17kg",Various,Estonia,
Ansmann,"Maker of batteries, drive systems and retrofit kits.
 Stopped making electric bikes in 2015. Concentrating on developing and selling new systems .",China,Germany,–
Antec,Hub-motor pedelecs.,China,Netherlands,
Anthrotech,Recumbent tricycle manufacturer with electric-assist option.,Various,Germany,–
AS Bikes,Budget folders.,China,China,
Ave,German-made city-styled pedelecs.,Taiwan,Germany,
Avon,Mainly moped style electric bikes and scooters serving the Indian market.,–,–,–
Azor,Hub motor systems fitted to classic Dutch style Omafiets or ‘granny bikes’.,Netherlands,Netherlands,
Babboe,Dutch cargo bikes in the ‘bakfiets’ style.,–,–,–
Bangkok Cycle Industrial Co Ltd,Mass producer of more than 1 million bicycles annually.,Thailand,Thailand,
Batavus,"Dutch style city bikes – part of the Accell group, so extremely similar in style to Sparta.",Netherlands,Netherlands,
Batribikes,Range of hub motor bikes.,China,China,
Bauer,Hub-motor pedelecs plus Bosch crank motor options.,Multiple,Germany,
Bear Print,Chinese hub motor machines with a 2 year battery guarantee.,China,China,
Beat Bikes,Chinese made mini-folding bikes.,China,China,
Benelli,Unusually have opted for a single road race design with rear hub motor.,,,
Bergamont,German based company producing Bosch and Shimano powered machines.,Various,Germany,
BESV,Stylish high end city bikes from Taiwanese manufacturer Darfon.,,,
BigFish,Folder with the Japanese Sunstar kit added. May not be in production since 2012.,Multiple,Italy,
Binbike,Belgian-based manufacturer of crystalyte hub-motored town bikes.,China,Belgium,
Blix,Slimline looking town and folding bikes. Appears to be a US / Swedish concern.,,,
Bottechia,Now a mixture of Chinese style pedelecs with hub motors and Shimano STEPS and Bafang crank drives. www.cicliadriatica.it,Multiple,Italy,–
Busettii,–,–,–,–
Bridgestone,High quality Japanese pedelecs.,Japan,Japan,
Bronx,"Reasonably priced, lightweight UK bikes.",Taiwan,United Kingdom,
Byocycles,Range of hub motor bikes.,China,China,
Cleanairbike,A highly unusual fuel-cell powered cargo bike. MAY NOT BE IN DEVELOPMENT / PRODUCTION ANY LONGER,–,–,–
Claud Butler,Hub motor style bikes from a longstanding UK manufacturer.,China,United Kingdom,
COBOC,Sleek German single speed design,,Germany,
Corratec,German designed pedelec with Bosch and Shimano crank drive motors.,Germany / Japan,Germany,
Cube,High tech models featuring wireless technology. Storck hub motor technology used under license.,–,–,–
Cutting Edge,NO EVIDENCE STILL IN PRODUCTION,China,China,
Cycles Maximus,Powered tricycles for heavy duty business style use. Redesigned for 2013.,United Kingdom,United Kingdom,
Cyclotricity,Part assembled in the UK,China / UK,China,
Cytronex,"Using their own bespoke electrics with the excellent Tongxin friction hub motor, these are some of raciest, lightest bikes around.",China,United Kingdom,
