Dati della strada;Dati della strada;Dati della strada;Dati della strada;Dati della strada;Dati della strada;Dati della strada;Dati della strada;Dati della strada
id strada;id lrs;codice servizio;denominazione;progressiva di inizio strada;progressiva di fine strada;localita di inizio strada;localita di fine strada;TIPO
250;20001200;SS 12;dell'Abetone e del Brennero;326,181;401,275;Confine Provincia di Verona;Confine Provincia di Bolzano;B
287;20001201;SS 12 svincoli;dell'Abetone e del Brennero - svincoli;0;6,749;;;B
251;20004200;SS 42;del Tonale e della Mendola;147,846;220,5;Passo Tonale;Mendola;B
252;20004300;SS 43;della Val di Non;0;30,65;Mostizzolo;SS 12 - San Michele all'Adige;B
255;20004301;SS 43 dir;della Val di Non diramazione Sarnonico;0;13,715;S.S. 43 Dermulo;Sarnonico;B
288;20004302;SS 43 rac;della Val di Non raccordo Ronzone;0;0,645;;;B
234;20004303;SS ex SS 43;ex S.S. 43 della Val di Non tratto Sabino - Rocchetta;17,8;23,45;;;B
256;20004501;SS 45 bis;della Gardesana Occidentale;106,848;154,16;Riva del Garda (Confine Provincia di Brescia);Trento;B
343;20004502;SS 45 bis Variante Riva;SS 45 bis Variante Riva;112,768;116,228;;;B
257;20004600;SS 46;del Pasubio;45;69,63;Confine Provincia di Vicenza - Passo Pian delle Fugazze;Rovereto;B
258;20004601;SS 46 dir;del Pasubio diramazione Ossario;0;0,53;Pian delle Fugazze (Vallarsa);Confine Provincia di Vicenza - Passo Pian delle Fugazze;B
259;20004700;SS 47;della Valsugana;73,014;130,804;Confine Provincia di Vicenza ;Melta di Gardolo -TRENTO-;B
295;20004701;SS 47 sv;della Valsugana svincolo Melta;0;0,457;;;B
334;20004703;EX SS 47 delle Laste;Ex SS 47 Tracciato dismesso Martignano ;126,6;130,9;;;B
260;20004800;SS 48;delle Dolomiti;16,43;76,2;Passo San Lugano (confine Bolzano);Passo Pordoi (confine Belluno);B
261;20004801;SS 48 var;delle Dolomiti variante di Predazzo;0;2,67;si stacca dalla S.S. 48 al km 36,950);si immette sulla S.S. 48 al km 38,600;B
341;20004802;SS 48 Variante di Canazei;SS 48 Variante di Canazei;0;1,215;SS 48 km 63,820;SS 48 64,240;B
262;20005000;SS 50;del Grappa e Passo Rolle;61,075;116,013;Confine Provincia di Feltre - Monte Croce o Pontèt;Predazzo (fine S.S.);B
263;20023700;SS 237;del Caffaro;55,82;110,418;Ponte Caffaro (Confine con la Prov.di Brescia);SS 45 bis - Sarche ;B
264;20023701;SS 237 sv;del Caffaro - svincolo;0;1,416;Cà Rossa incrocio al km 59.760; Storo incrocio al km 61,000;B
265;20023800;SS 238;delle Palade;0;6,784;Fondo;Tret;B
267;20023801;SS 238 dir;delle Palade diramazione innesto S.S 42;0;1,186;;;B
305;20023802;SS 238 rac;delle Palade - raccordo;0;0,026;SS 238;SS 42;B
268;20023900;SS 239;di Campiglio;0;47,45;Dimaro;Tione di Trento incrocio con la S.S 237 al km 85.900;B
269;20024000;SS 240;di Loppio e Val di Ledro;3;52,18;Rovereto / Torbole;Cà Rossa (Storo);B
270;20024001;SS 240 dir;di Loppio e Val di Ledro diramazione Nago - Arco;0;5,662;Nago - SS 240;Arco - SS 45  bis;B
325;20024010;SS 240 variante Mori ; Variante di Mori ;2,45;7;SP 23 casello A22 uscita Rovereto Nord;SS 240 ;B
271;20024100;SS 241;della Val D'Ega e Passo Costalunga;26,16;35,848;Passo Costalunga (confine Bolzano);San Giovanni (Vigo di Fassa) fine S.S.;B
272;20024200;SS 242;della Val Gardena e Passo Sella;30,9;36,71;Passo Sella (confine Provincia di Bolzano);incrocio con SS 48 km 69,420;B
273;20024900;SS 249;della Gardesana Orientale;91,022;100,435;Nago Torbole (confine Provincia di Verona);Arco (incrocio con S.S. 45 bis al km 116,720;B
274;20034600;SS 346;del Passo San Pellegrino;1,035;14,138;svincoli  SS 48 km 46.856;loc. Zingari confine Provincia di Belluno;B
275;20034700;SS 347;del Passo Cereda e Passo Duran;0;11,78;Tonadico (incrocio con SS 50 al km 72.600);Mis di Sopra - confine con provincia di Belluno;B
276;20034900;SS 349;della Val d'Assa e Pedemontana Costo;4,8;45,768;S. Rocco di Trento;Provincia Vicenza;B
