name,address,id,bikes,slots,totalSlots,position/0,position/1
Balista,Via Antonio Balista 10,Balista - Rovereto,4,5,9,45.896175282432274,11.03036572611154
Brione,Via Perosi / Via Puccini,Brione - Rovereto,4,2,6,45.90421911950808,11.044299836454002
Lizzana,P.za Guella / Via Montello,Lizzana - Rovereto,8,1,9,45.8675281353871,11.031902417860465
Marco,Via 2 novembre / via Alveo - Scuola,Marco - Rovereto,1,4,6,45.84133938920707,11.008448922615116
Mart,Via Bettini Museo Mart,Mart - Rovereto,1,4,6,45.89383120606002,11.043776690807363
Municipio,Via Calcinari fr. civ. 11,Municipio - Rovereto,0,6,6,45.88700893072052,11.04421812261512
Noriglio,Via Noriglio / ex scuola D. Chiesa,Noriglio - Rovereto,2,6,8,45.88365364364294,11.070399481792492
Orvea,Via del Garda / Via dell’Industria,Orvea - Rovereto,4,8,12,45.87202945143379,11.020309774135626
Ospedale,C.so Verona Park Ospedale Nuovo,Ospedale - Rovereto,0,11,12,45.88226500641319,11.040281016146878
P. Rosmini,P.za Rosmini 1,P. Rosmini - Rovereto,1,5,6,45.89102037579931,11.043363036887968
Piscina,,Piscina - Rovereto,0,0,0,45.8844444,11.03361111111111
Quercia,Via Palestrina 3,Quercia - Rovereto,3,3,6,45.90050916437712,11.036815184130887
Sacco,Via Vittoria / Via Unione,Sacco - Rovereto,4,6,11,45.88477528345004,11.023286167216156
Stazione FF.SS.,P.le Orsi - Scuola,Stazione FF.SS. - Rovereto,3,7,10,45.89125332494616,11.03489086508182
Stazione Mori,Stazione Mori,Stazione Mori - Rovereto,2,9,11,45.861171706692836,11.001933217048647
Via Paoli,Via Manzoni / Via Paoli,Via Paoli - Rovereto,0,12,12,45.89177380040726,11.039904616532908
Villa Lagarina,Piazzetta Scrinzi,Villa Lagarina - Rovereto,3,9,12,45.91594639958107,11.031688259394059
Zona Industriale,Via Caproni Park Laghiol - Luxottica,Zona Industriale - Rovereto,0,5,5,45.86630335827336,11.015673193887324
