@id,@lat,@lon,operator,fee
2339472314,46.0366441,11.1144243,Enel,
2593015641,46.2716435,11.4191672,,
2648560395,45.8932949,11.0357234,Dolomiti Energia,
3075301461,46.1509671,11.7993041,Azienda Consorziale Servizi Municipalizzati S.p.A.,
4028996208,46.0535000,11.4541031,,
4222321679,45.8942377,11.0435124,Dolomiti Energia,
4363604889,46.3133310,10.8002760,Route220,
4366527091,46.0505129,11.4420158,ECO fuel,
4366543189,46.2904160,11.4645784,ECO fuel,
4446398905,46.0737114,11.1207618,Evway,no
4989788812,45.8835880,11.0214315,evway,no
5076888966,46.3632398,11.0972902,,
5126778920,46.0625486,11.6339719,,
5458446256,46.1116624,11.0917558,Tesla Motors,
5540492931,46.2243532,10.8280730,,
5613312278,46.0615848,11.1158332,,
5705224923,46.0890395,11.1237692,Delta Energy,
5736618849,46.0985066,11.0534815,,no
5736654938,46.1634049,10.7655510,,no
5736654939,46.1555859,10.7565491,,no
5736654940,46.1248283,10.7564107,,no
5736654941,46.0764281,10.7243423,,no
5736654942,46.0412940,10.7313103,,no
5750918767,46.4405103,11.1367805,,
5798934453,46.4168159,11.2074316,,
5834910199,45.8776343,10.5943761,,
5834910200,45.9280932,10.6356728,,
5908187234,46.0637297,11.5241780,,
5911431843,46.0617371,11.2379531,Comune di Pergine Valsugana,
5998800163,46.0900799,11.1185637,Evway,
6038788911,45.9198022,10.8837856,Hotel Pace 1954,
6092379147,46.2103071,11.0943568,,
6149260728,45.8155059,10.9557376,,
6183221964,45.9177566,11.0348746,ENEL,
6323245069,46.1403970,11.1063815,,
6466104098,45.8783256,11.1546649,Alperia Smart Mobility,
6572134281,45.8517584,11.1290989,Malga Valli,
6584482418,45.8710326,10.8744934,,
6681742835,45.9600480,10.9134879,,
6691800349,45.8485003,11.0015568,A22,no
6727033907,45.9078934,11.0408048,,
6815600044,46.2246782,10.8283516,,
6851412849,46.1401489,11.0852793,A22,no
6851414917,46.1405363,11.0875516,A22,no
6851435452,45.8485497,11.0015378,A22,no
6851435453,45.8486011,11.0015123,A22,no
