NOME;TIPO;STRADA;KM;INDIRIZZO;LOCALITA;SERVIZI DISPONIBILI;CODICE ISTAT LOCALITA;LINK PORTALE
Q8;Benzina super senza piombo/Gasolio tradizionale/;SS 421  Km 8+802;5,0;MASO CANTON 72;CAVEDAGO;bar/lavaggio/officina/;022052;https://carburanti.mise.gov.it/OssPrezziSearch/ricerca
Q8;;SP 88  Km. 7+800;3,0;FRAZIONE PANNONE - VIA AL CASTELLO 10;MORI;officina/;022123;https://carburanti.mise.gov.it/OssPrezziSearch/ricerca
Q8;Benzina super senza piombo/Gasolio tradizionale/;SS 46  Km 57+130;2,0;FRAZIONE ANGHEBENI;VALLARSA;;022210;https://carburanti.mise.gov.it/OssPrezziSearch/ricerca
Q8;;SP 20  Km 0+725;1,0;VIA DEGLI ALPINI;VILLA LAGARINA;lavaggio/parcheggio/;022222;https://carburanti.mise.gov.it/OssPrezziSearch/ricerca
IP;;---;4,0;VIA DI CASILINA 83;VERMIGLIO;officina/;022213;https://carburanti.mise.gov.it/OssPrezziSearch/ricerca
IP;Benzina super senza piombo/Gasolio tradizionale/;SS 45bis  Km 116+111;0,4;LOCALITA' CAVALLO - via Santa Caterina;ARCO;;022006;https://carburanti.mise.gov.it/OssPrezziSearch/ricerca
IP;;SP 1  Km 4+560;0,5;VIA DONEGANI 15;CALCERANICA AL LAGO;autoshop/officina/;022032;https://carburanti.mise.gov.it/OssPrezziSearch/ricerca
IP;;SS 350  Km 0+015;0,9;SS 350  Km 0+015;CALLIANO;albergo/bar/parcheggio/;022035;https://carburanti.mise.gov.it/OssPrezziSearch/ricerca
IP;;SS 12  Km 391+630;1,6;FRAZ. NAVE SAN FELICE;LAVIS;albergo/autoshop/bar/parcheggio/;022103;https://carburanti.mise.gov.it/OssPrezziSearch/ricerca
IP;;SS 240  Km 33+850;1,0;PIEVE - VIA NUOVA 8;LEDRO;officina/;022229;https://carburanti.mise.gov.it/OssPrezziSearch/ricerca
IP;;SS 237  Km 72+542;0,2;LOC. STRADA;PIEVE DI BONO-PREZZO;;022234;https://carburanti.mise.gov.it/OssPrezziSearch/ricerca
IP;;SP 86  Km ;6,0;SAN BERNARDO LOC. TASSE';RABBI;bar/bar-ristorante/;022150;https://carburanti.mise.gov.it/OssPrezziSearch/ricerca
IP;;SS 45bis  Km 115+221;1,0;VIA SAN TOMMASO 2;RIVA DEL GARDA;autoshop/bar/officina/;022153;https://carburanti.mise.gov.it/OssPrezziSearch/ricerca
IP;;SS 48  Km 28+316;2,9;VIA NAZIONALE;TESERO;;022196;https://carburanti.mise.gov.it/OssPrezziSearch/ricerca
IP;;---;0,5;VIA LIVIO DRUSO;TRENTO;;022205;https://carburanti.mise.gov.it/OssPrezziSearch/ricerca
IP;;---;0,5;VIA ROSMINI 47;TRENTO;autoshop/lavaggio/parcheggio/;022205;https://carburanti.mise.gov.it/OssPrezziSearch/ricerca
IP;;SP 73  Km 14+260;0,5;VIA G. MAESTRELLI  98;VILLE D'ANAUNIA;bar/;022249;https://carburanti.mise.gov.it/OssPrezziSearch/ricerca
IP;;SS 241  Km 34+862;1,0;S.S. 241 KM.  34+862;VIGO DI FASSA - VICH;officina/;022217;https://carburanti.mise.gov.it/OssPrezziSearch/ricerca
