Comune;Provincia;Regione;Nome;Anno inserimento;Data e ora inserimento;Identificatore in OpenStreetMap;Longitudine;Latitudine
ALA;TRENTO;Trentino-Alto Adige;;2013;2013-11-03T13:02:09Z;2517263791;10.9994684;45.7573822
ALA;TRENTO;Trentino-Alto Adige;;2016;2016-02-22T14:40:14Z;4019853367;11.0191712;45.8034248
ANDALO;TRENTO;Trentino-Alto Adige;Agip;2013;2013-06-28T15:17:34Z;2364540522;11.0043821;46.167786
ARCO;TRENTO;Trentino-Alto Adige;Agip;2013;2013-08-27T20:27:50Z;272274734;10.8976482;45.9343359
ARCO;TRENTO;Trentino-Alto Adige;Esso;2015;2015-05-01T20:57:44Z;3491908265;10.8712692;45.8759902999999
ARCO;TRENTO;Trentino-Alto Adige;IP;2009;2009-09-30T19:53:23Z;514889051;10.8662922;45.9064012999999
ARCO;TRENTO;Trentino-Alto Adige;IP;2014;2014-03-04T17:10:47Z;272274750;10.8792677999999;45.9160258
ARCO;TRENTO;Trentino-Alto Adige;Nord Petroli;2014;2014-03-04T17:10:59Z;272274753;10.8690271;45.9087695999999
BESENELLO;TRENTO;Trentino-Alto Adige;Agip;2014;2014-03-04T14:26:29Z;229100020;11.1165451999999;45.9803082
BONDO;TRENTO;Trentino-Alto Adige;;2012;2012-05-11T21:19:16Z;1748976932;10.6912666;45.9968381999999
BORGO VALSUGANA;TRENTO;Trentino-Alto Adige;;2016;2016-02-19T20:59:56Z;4015365992;11.4452123;46.0512514999999
BORGO VALSUGANA;TRENTO;Trentino-Alto Adige;Agip;2014;2014-03-04T14:26:31Z;227024618;11.4699287;46.0552775999999
CALAVINO;TRENTO;Trentino-Alto Adige;Q8;2014;2014-09-17T13:22:42Z;227912596;10.9515657;46.0469494
CALCERANICA AL LAGO;TRENTO;Trentino-Alto Adige;;2013;2013-06-04T15:45:09Z;497089314;11.2413396999999;46.0057698
CALCERANICA AL LAGO;TRENTO;Trentino-Alto Adige;Delta Energy;2014;2014-03-04T14:26:43Z;227613924;11.2439009;46.0037324999999
CALCERANICA AL LAGO;TRENTO;Trentino-Alto Adige;NordPetroli;2014;2014-03-04T17:10:59Z;227602375;11.2459132;46.0010442999999
CALDONAZZO;TRENTO;Trentino-Alto Adige;Total;2012;2012-10-26T18:54:53Z;665462507;11.2591766999999;45.9965856
CALLIANO;TRENTO;Trentino-Alto Adige;;2011;2011-07-05T10:30:33Z;761139565;11.0961175;45.9332714
CALLIANO;TRENTO;Trentino-Alto Adige;;2013;2013-11-21T22:30:32Z;905067404;11.0932283;45.9284198
CAMPODENNO;TRENTO;Trentino-Alto Adige;;2011;2011-02-02T20:24:36Z;415898492;11.036287;46.2681960999999
CANAL SAN BOVO;TRENTO;Trentino-Alto Adige;Tamoil;2014;2014-09-17T13:36:47Z;227832734;11.734722;46.1491669999999
CASTELLO-MOLINA DI FIEMME;TRENTO;Trentino-Alto Adige;IP;2010;2010-05-08T07:13:29Z;260405101;11.4194858;46.2725848999999
CASTELLO-MOLINA DI FIEMME;TRENTO;Trentino-Alto Adige;Tamoil;2014;2014-09-17T13:36:47Z;229113341;11.436596;46.285038
CASTELLO TESINO;TRENTO;Trentino-Alto Adige;;2014;2014-12-14T17:19:51Z;3234670050;11.6255111;46.0686516
CASTELNUOVO;TRENTO;Trentino-Alto Adige;Esso;2014;2014-03-04T17:10:39Z;227916140;11.484404;46.051284
CASTELNUOVO;TRENTO;Trentino-Alto Adige;IES;2014;2014-09-17T13:21:31Z;227887993;11.475327;46.0490289999999
CASTELNUOVO;TRENTO;Trentino-Alto Adige;IP;2014;2014-09-17T12:42:18Z;227916004;11.4852573;46.0507009999999
CASTELNUOVO;TRENTO;Trentino-Alto Adige;loro;2014;2014-03-04T17:11:31Z;226917274;11.475606;46.048596
CAVALESE;TRENTO;Trentino-Alto Adige;;2011;2011-01-26T15:15:25Z;1121890270;11.4545815;46.2907639
CAVEDAGO;TRENTO;Trentino-Alto Adige;;2011;2011-01-29T18:05:20Z;935736694;11.0413809;46.1907619999999
CEMBRA;TRENTO;Trentino-Alto Adige;;2011;2011-06-06T15:11:13Z;520633602;11.2236794;46.1766306999999
CIVEZZANO;TRENTO;Trentino-Alto Adige;;2011;2011-02-28T22:27:47Z;663184958;11.1841997;46.0879612
CLES;TRENTO;Trentino-Alto Adige;;2010;2010-10-11T20:43:36Z;943285739;11.0343921;46.364055
CLES;TRENTO;Trentino-Alto Adige;Agip;2015;2015-06-29T20:18:27Z;227024626;11.044406;46.3530451999999
CLES;TRENTO;Trentino-Alto Adige;Q8;2015;2015-06-29T20:16:19Z;333690832;11.033746;46.3696863999999
COMMEZZADURA;TRENTO;Trentino-Alto Adige;;2011;2011-01-11T12:31:18Z;1097942236;10.8411518;46.3213433
COMMEZZADURA;TRENTO;Trentino-Alto Adige;Repsol;2012;2012-06-19T21:03:27Z;333789950;10.8480121;46.3225666
COREDO;TRENTO;Trentino-Alto Adige;Repsol;2014;2014-09-17T13:22:48Z;227893703;11.0796928;46.3473619999999
CROVIANA;TRENTO;Trentino-Alto Adige;Tamoil;2010;2010-01-14T23:10:29Z;600591686;10.9033995;46.3418883
CUNEVO;TRENTO;Trentino-Alto Adige;Agip;2012;2012-01-15T01:24:13Z;1590167248;11.0383682;46.2856645
DAIANO;TRENTO;Trentino-Alto Adige;Gruppo Nord Petroli;2012;2012-03-24T13:42:05Z;1688626488;11.4515294;46.3000022
DAIANO;TRENTO;Trentino-Alto Adige;Gruppo Nord Petroli;2012;2012-03-24T13:47:33Z;1688634496;11.4514869;46.3000612
DAONE;TRENTO;Trentino-Alto Adige;;2013;2013-06-30T22:05:04Z;2367894292;10.6181797;45.9473078999999
DENNO;TRENTO;Trentino-Alto Adige;Q8;2012;2012-09-26T12:37:33Z;363592367;11.0607509;46.2657857
