@id,@lat,@lon,name,brand,operator,fuel:diesel,fuel:lpg,fuel:cng
221915633,46.0958611,11.0974678,ENI,Agip Eni,G. & M. di Ferrato Greta & C. S.A.S.,yes,yes,yes
221922466,46.0448287,11.4228045,,Agip Eni,G.M. di Grigore Marian,,yes,yes
226917274,46.0487614,11.4757382,Loro,Loro,Loro F.Lli-s.P.A.,,yes,
226927873,46.1415780,11.0873350,Agip,Agip Eni,Eni Fuel S.p.A.,,yes,
226928193,46.1405850,11.0857120,Agip,Agip Eni,Wecar S.A.S. di Webber Gervasio & C.,,yes,
227024599,46.2102988,11.0938638,Agip,Agip Eni,Merlo Snc di Merlo Maurizio e C.,,,
227024603,46.1312140,11.1100620,ENI,Agip Eni,Pellegrini e Dalfovo Mauro S.N.C.,yes,yes,
227024606,46.0796910,11.0406270,Agip,Agip,Agip,,,
227024610,46.0422920,11.1128785,Agip,Agip Eni,Boller Alessandro,,,
227024618,46.0552954,11.4699664,Agip,Agip Eni,Perozzo Albino,,,
227024637,46.0807339,11.1218942,Agip,Agip Eni,N.E.W. Agip di Nardon Walter & C. S.A.S.,,,
227024651,46.3359199,11.0624993,Agip,Agip Eni,G.S. Ristoauto Sas di Iori Gianni & C. in Sigla G.S. Ristoauto Sas,,,
227514815,46.0469040,11.1308915,Repsol,Repsol,Repsol,yes,yes,
227515152,46.0904040,11.1163440,IP,,,,,
227515154,46.0823834,11.1155332,Agip,Agip Eni,Riolfatti Luigi,,,
227537335,45.8604836,11.0011656,H6,Repsol,De.Ko S.A.S. di Kovacevic Esed,,,
227587255,46.0581489,11.2311168,Esso,Esso,Area di Servizio Est Castel di Pergine 2000 di Calovi Maria Cristina e Dalsasso Remo S.N.C.,,,
227602375,46.0010443,11.2459132,NordPetroli,Gnp,Gruppo Nord Petroli S.R.L.,,,
227613924,46.0037325,11.2439009,Delta Energy,Delta Energy,Delta Energy S.R.L.,,,
227646136,46.4270610,11.1420250,Eni,Eni,Bonani Giuliano,,yes,
