latitude,longitude,altitude,geometry,@id,amenity,name,opening_hours,operator,ref:vatin,contact:phone,dispensing,ref:vat:it,addr:city,addr:country,addr:housenumber,addr:postcode,addr:street,surveillance,contact:email,contact:website,wheelchair,phone,source,drive_through,addr:province,contact:fax,contact:mobile,addr:housename,healthcare,layer,addr:state,level,fixme,website,alt_name,email,addr:district,addr:place,name:it,name:en
46.071609,11.1402607,,Point,node/247887427,pharmacy,Farmacia Comunale San Donà,"Mo-Fr 08:30-12:00,15:00-19:00; Sa 08:30-12:00",Farmacie Comunali spa,IT01581140223,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46.2818543,11.4362112,,Point,node/261081716,pharmacy,,"Mo-Sa 08:30-12:15,15:30-19:00",Vinante Dr. Giorgio & C. S.N.C.,,+39 0462 341359,yes,02046780223,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46.2725633,11.4172234,,Point,node/261086651,pharmacy,,Mo-Fr 09:15-12:15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46.0580074,11.1327642,,Point,node/265593284,pharmacy,"Farmacia ""Bolghera""",,,IT02349510228,,,,Trento,IT,8,38122,Largo Medaglie d'Oro,,,,,,,,,,,,,,,,,,,,,,,
46.0676744,11.1219136,,Point,node/268401568,pharmacy,Farmacia dall'Armi,,Pattini Dr. Alberto e Dr.ssa Alessandra,IT02207590221,+39 0461 236139,,,Trento,IT,10,38122,Piazza del Duomo,,,,,,,,,,,,,,,,,,,,,,,
46.0677922,11.1223981,,Point,node/268404116,pharmacy,Farmacia Santoni,,Farmacia De Battaglia SNC,IT02099830222,+39 0461 982103,,,Trento,IT,20,38122,Piazza Mario Pasi,indoor,,,,,,,,,,,,,,,,,,,,,,
46.0674124,11.1241882,,Point,node/268429704,pharmacy,Farmacia Lamberto Gallo,,Cainelli Paolo & C. snc,IT01855780225,+39 0461 234387,,,Trento,IT,51,38122,Via Mantova,,rcainel@tin.it,http://www.farmaciagallo.com/,,,,,,,,,,,,,,,,,,,,
46.1335627,11.2480642,,Point,node/269032721,pharmacy,Morelli,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46.063667,11.1237066,,Point,node/269193734,pharmacy,Farmacia Santa Chiara,,,,,,,Trento,IT,57,38122,Via Santa Croce,,,,,,,,,,,,,,,,,,,,,,,
46.1425363,11.1956614,,Point,node/269348459,pharmacy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
