Denominazione impianto,Codice S.I.F.,Comune,Esercente,Data Primo collaudo,Data Ultimo Collaudo,Lunghezza Inclinata (m),Dislivello (m),Stazione di Valle (m.s.l.m.),Tipo veicolo,CapacitÃ  Veicolo (Pers.),Portata Max (Pers/h),Opere Paravalanghe ,Servizio,Veicoli in linea
Francolini - Sommo Alto,M002l,Folgaria,Soc.Carosello Ski Folgaria,27417,38301,1287,311,1229,seggiola,2,1200,#,Effettua servizio promiscuo ed estivo,173
Folgaria - Monte Cornetto,M005l,Folgaria,Soc.Carosello Ski Folgaria,24328,36158,1675,453,1181,cabina,2,508,#,Senza Nulla Osta,130
Brenzi -Spolverino,M009g,Dimaro,Soc.Fun. Folgarida Marilleva,31036,41940,716,"235,21","1857,23",seggiola,2,1200,si,,102
Laghet - Doss,M011e,Andalo,Soc. Valle Bianca,29934,41606,150,42,1024,seggiola,2,1028,#,Effettua servizio notturno,24
Malghet Haut - Campi scuola,M012g,Dimaro,Soc.Fun. Folgarida Marilleva,31404,36860,"351,13","26,96",1850,seggiola,2,1200,#,Effettua servizio promiscuo,55
Paradiso - Presena,M016g,Vermiglio,Soc. Carosello Tonale,30491,41452,1227,154,2590,seggiola,2,900,#,Effettua servizio promiscuo ed estivo,124
M.ga Montagnoli - M.te Spinale,M018h,Ragoli,Soc.Fun. Madonna di Campiglio,28438,39405,"1162,1","303,15","1803,54",seggiola,2,900,si,,128
Campi di Golf - M.ga di Mezzavia,M026f,RuffrÃ¨,Soc. Altipiani Val di Non,34690,40162,1378,227,1370,seggiola,3,1677,si,Effettua servizio promiscuo ed estivo,172
Lago Malghette - Monte Vigo,M028g,Pinzolo,Soc.Fun. Folgarida Marilleva,32132,37573,"1187,12","374,6",1783,seggiola,3,1588,#,,154
Vanezze - 3 tre,M031e,Trento,Soc. Trento Funivie,31764,31764,1059,323,1305,seggiola,2,1200,#,,153
Fedaia - Pian dei Fiacconi,M057m,Canazei,Soc.Fun. Fedaia Marmolada,27367,42061,1543,552,2082,cabina,2,472,C.L.V. + si,Effettua servizio promiscuo ed estivo,120
Fossadei - M.ga Cioca,M070h,Pinzolo,Soc.Fun. Pinzolo,26649,41225,1050,"331,71","1427,49",seggiola,2,694,si,,81
Fontana Fevri - Monte Spinale,M072h,Ragoli,Soc.Fun. Madonna di Campiglio,32490,37914,"1049,71","367,8","1733,2",seggiola,3,1500,si,,134
M.ga Panciana - Doss della Pesa,M076g,Mezzana,Soc.Fun. Folgarida Marilleva,40533,40533,1200,360,1768,seggiola,4,1068,si + M.G.,,72
Dosso Marilleva - Doss della Pesa,M080g,Mezzana,Soc.Fun. Folgarida Marilleva,27787,38677,"570,59","196,16","1897,86",seggiola,2,710,#,,46
M.ga Montagna Grande - Cima Esi,M081d,Pergine,Soc. Nuova Panarotta,26303,41606,1049,254,1570,seggiola,2,1000,#,,132
Meriz - M.ga di Fai,M094e,Fai,Soc. Paganella 2001,28893,40870,1305,250,1419,seggiola,2,1028,#,Effettua servizio promiscuo,165
Madonna di Campiglio - Patascoss,M118h,Pinzolo,Soc.Fun. Madonna di Campiglio,29913,41233,"459,16","183,46","1562,04",seggiola,2,1125,#,Effettua servizio notturno,58
M.ga Zambana - La Selletta,M124e,Zambana,Soc. Paganella 2001,31762,37612,"898,15","231,59",1748,seggiola,2,1200,si,,121
Calchera di boch - Vagliana,M132h,Ragoli,Soc.Fun. Madonna di Campiglio,29917,40843,"786,27","185,3","1896,2",seggiola,2,1028,#,,91
Roseal,M144m,Canazei,Soc.Fun. Ciampac e Contrin,30314,41250,587,"125,5",2180,seggiola,2,1200,#,,87
Costa - Dosso della Madonna,M152l,Folgaria,Soc.Seggiovia Dosso della Madonna,30662,41969,201,64,1242,seggiola,2,1058,#,,36
Cima Uomo,M153m,Soraga,Soc. Impianti Falcade Col Margherita,31030,41975,738,226,2167,seggiola,2,1125,si,,92
C.Carlo Magno - M.ga Montagnoli,M156h,Ragoli,Soc.Fun. Madonna di Campiglio,31015,41978,"875,56","150,5","1654,5",seggiola,2,1200,#,Effettua servizio promiscuo,132
Pian Pecei - Ciampedie,M158m,Vigo di Fassa,Soc.Catinaccio Impianti a Fune,31402,36823,486,192,1802,seggiola,3,1800,#,Effettua servizio promiscuo ed estivo,72
Rifugio - Furet,M159d,Pergine,Soc. Nuova Panarotta,31035,36881,237,52,1747,seggiola,2,1016,#,,44
S.Martino - M.ga Ces,M160b,Siror,Imprese e Territorio Soc. Cons. s.r.l.,32134,37958,925,142,1469,seggiola,3,1797,#,Effettua servizio promiscuo ed estivo,142
Mga Ces - M.ga Valcigolera,M161b,Siror,Imprese e Territorio Soc. Cons. s.r.l.,31798,37974,1635,473,1601,seggiola,2,900,si,,164
M.ga Valcigolera - Cima Tognola,M162b,Siror,Imprese e Territorio Soc. Cons. s.r.l.,32121,38323,1325,467,1887,seggiola,2,1200,C.L.V.,,178
Ferrari,M165b,Siror,S.I.T.R.,31380,36851,668,147,1900,seggiola,2,1200,#,,98
Monte Nock - RuffrÃ¨,M167f,RuffrÃ¨,Soc. Altipiani Val di Non,31408,36693,"412,49","124,5",1218,seggiola,2,1200,#,Effettua servizio notturno,60
Vajolet 1Â°,M170m,Pozza di Fassa,Soc.Catinaccio Impianti a Fune,31776,37210,1091,260,1317,seggiola,2,1200,#,Effettua servizio promiscuo ed estivo,146
Vajolet 2Â°,M171m,Pozza di Fassa,Soc.Catinaccio Impianti a Fune,31766,37238,1503,232,1573,seggiola,2,900,#,Effettua servizio promiscuo ed estivo,151
M.ga Tognola - C.ma Tognola,M174b,Siror,Soc.Fun. Seggiovie S.Martino,32050,37952,1251,362,1981,seggiola,2,1200,si,,168
Val Mastellina - Bassetta del Vigo,M177g,Commezzadura,Soc.Fun. Folgarida Marilleva,31773,37229,"899,96","196,07","1847,93",seggiola,3,1800,#,,132
Alloch - Pian delle Checene,M178m,Pozza di Fassa,Soc.Fun. Buffaure,31784,37219,982,310,1342,seggiola,3,1800,#,Effettua servizio notturno,143
Fondo Piccolo - Cargaore,M180l,Folgaria,Soc.Fun. Rella,32141,37559,655,154,1466,seggiola,3,1800,#,,98
M.ga Panciana - Ometto,M183g,Commezzadura,Soc.Fun. Folgarida Marilleva,32505,37946,"672,15",141,1911,seggiola,2,1200,#,,91
Scandola - Tognola,M186b,Siror,Soc.Fun. Seggiovie S.Martino,32527,38680,876,205,1866,seggiola,3,1800,#,,134
Mezoli - Taviela,M188g,Peio,Soc.Fun. Peio,33200,39041,"770,47","134,47","1408,5",seggiola,2,893,#,,97
Fondo Piccolo - Trugalait,M189l,Folgaria,Soc. Seggiovie Fondo Piccolo,33227,38618,459,137,1472,seggiola,3,1800,#,,68
Passo Rolle - Castellazzo,M191b,Tonadico,Soc. Castellazzo,33205,38665,992,229,1987,seggiola,3,1800,#,,145
Buca Ferrari - Cima Tognazza,M192b,Siror,S.I.T.R.,33199,38622,882,318,1873,seggiola,4,1822,si,Effettua servizio promiscuo ed estivo,103
Stalimen - Trampolini,M193a,Predazzo,Comune di Predazzo,33262,39030,260,93,1050,seggiola,1,201,#,,20
Bassetta del Vigo - Monte Spolverino,M194g,Dimaro-Commezzadura,Soc.Fun. Folgarida Marilleva,33589,39045,"588,14","128,68","1972,32",seggiola,2,1200,si,,89
Malga Tognola - Tognazza,M195b,Siror,Soc.Fun. Seggiovie S.Martino,33590,39057,1171,226,1967,seggiola,3,1796,#,,171
Salei - Rodella,M197m,Canazei - Campitello,S.I.T.C.,23-Dic.-91,39055,749,273,2122,seggiola,4,1800,si,,86
Soneck - Tablat,M198d,Lavarone,Soc.Turismo Lavarone,33995,39393,363,47,1333,seggiola,2,900,#,,47
Bertoldi - Tablat,M201d,Lavarone,Soc.Turismo Lavarone,34685,40150,876,"186,7","1195,3",seggiola,3,1316,#,Effettua servizio promiscuo ed estivo,94
Cimon -Scuola,M203b,Siror,S.I.T.R.,34551,40098,"478,57",65,1985,seggiola,4,1480,#,,50
Vason - Palon,M204e,Trento,Soc. Trento Funivie,34683,40137,1303,432,1658,seggiola,3,1200,si,Effettua servizio promiscuo ed estivo,127
Rodella - Des Alpes,M205m,Canazei,S.I.T.C.,35047,40493,562,172,2228,seggiola,4,1750,si,,63
Malga Copai - Dosso Marilleva,M206g,Mezzana,Soc.Fun. Folgarida Marilleva,35054,35054,1332,443,1460,seggiola,3,1800,si,,177
Campo Scuola - CiampediÃ¨,M207m,Vigo di Fassa,Soc.Catinaccio Impianti a Fune,35039,40487,379,"49,5",1946,seggiola,4,1200,#,,36
