Denominazione impianto,Codice S.I.F.,Comune,Esercente,Data Primo collaudo,Data Ultimo Collaudo,Lunghezza Inclinata (m),Dislivello (m),Stazione di Valle (m.s.l.m.),Tipo veicolo,CapacitÃ  Veicolo (Pers.),Portata Max (Pers/h),Opere Paravalanghe ,Servizio,Veicoli in linea
Malghet Haut - Monte Spolverino,C012g,Dimaro,Soc.Fun. Folgarida Marilleva,38308,38308,1200,244,1851,seggiola chiusa,4,2200,si,,74
Fortini - Pian del Graffer,C014h,Pinzolo - Ragoli,Soc.Fun. Madonna di Campiglio,32120,39401,"3320,45","433,5","1651,5",cabina,6,2168,si,Effettua servizio estivo,138
Pian del Graffer - P.so del GrostÃ¨,C015h,Ragoli,Soc.Fun. Madonna di Campiglio,32120,39402,"2278,95","359,5",2085,cabina,6,2168,C.L.V.,Effettua servizio estivo,90
Kristiania - Col dei Rossi ,C019m,Canazei,S.I.T.C.,32494,39772,1319,307,2059,seggiola chiusa,4,2232,#,,100
Latemar - Passo Pampeago,C020a,Tesero - Nova Ponente,I.T.A.P.,32472,39766,1070,255,1757,seggiola,4,2400,si,Effettua servizio estivo,94
PrÃ  Rodont -Doss del Sabion,C021h,Pinzolo,Soc.Fun. Pinzolo,32499,39759,"1708,99","597,3","1499,7",seggiola,4,1800,si,Effettua servizio promiscuo ed estivo,86
ContrÃ¨ - Malga Copai,C022g,Mezzana,Soc.Fun. Folgarida Marilleva,32857,40513,"1510,19",544,"929,56",cabina,12,2000,#,Effettua servizio estivo,28
Passo S.Pellegrino - Gigante,C023m,Soraga,Soc. Impianti Falcade Col Margherita,32857,40129,1559,343,1914,seggiola,4,2400,#,Effettua servizio estivo,128
Pampeago - Monte Agnello,C024a,Tesero,I.T.A.P.,33205,40469,1123,416,1758,seggiola,4,2300,si,Effettua servizio promiscuo,91
Predazzo - GardonÃ¨,C025a,Predazzo,Soc. Latemar 2200,35034,35034,2465,603,1047,cabina,12,2400,si,Effettua servizio estivo,55
GardonÃ¨ - Passo Feudo,C026a,Predazzo,Soc. Latemar 2200,35020,35020,1721,532,1636,seggiola chiusa,4,2000,si,Effettua servizio promiscuo ed estivo,106
Prati di Gaggia - Mughi della Paganella,C027e,Andalo,Soc. Valle Bianca,33959,41222,1797,438,1333,seggiola chiusa,4,1500,si,Effettua servizio promiscuo,88
Ciampac - Sella Brunec,C028m,Canazei,Soc.Fun. Ciampac e Contrin,33226,40506,1424,290,2143,seggiola,4,1720,si,Effettua servizio estivo,85
Madonna di Campiglio - Monte Spinale,C029h,Pinzolo - Ragoli,Soc.Fun. Madonna di Campiglio,33938,41235,1606,588,1514,cabina,12,3000,si,"Effettua servizio promiscuo, estivo, notturno",46
