Concessionario,Codice impianto,Nome impianto,Tariffa (Euro),Apertura Dal Giorno,Apertura Al Giorno,Orario dalle ore ,Orario alle ore ,Variazioni e note
FUNIVIA CIAMPAC E CONTRIN SPA,B014m,Alba Ciampac,9,21/06/2015,13/09/2015,8.30,12.30,
FUNIVIA CIAMPAC E CONTRIN SPA,B014m,Alba Ciampac,9,21/06/2015,13/09/2015,13.30,18.00,
CATINACCIO IMPIANTI A FUNE SPA,B026m,Vigo di Fassa - Ciampedie,"8,5",13/06/2015,04/10/2015,8.30,13.00,
CATINACCIO IMPIANTI A FUNE SPA,B026m,Vigo di Fassa - Ciampedie,"8,5",13/06/2015,04/10/2015,14.00,18.00,orario di chiusura serale viene posticipato di 30 minuti nel periodo 1/7 31/8
SITC SPA,B017m,Pecol - Col Dei rossi,7,14/06/2015,21/09/2015,8.30,12.20,
SITC SPA,B017m,Pecol - Col Dei rossi,7,14/06/2015,21/09/2015,13.45,17.20,
FUNIVIA COL MARGHERITA SPA,B022m,Passo San Pellegrino - Col Margherita,,,,,,
SITC SPA,B027m,Campitello - Col Rodella,11,14/06/2015,04/10/2015,8.30,12.30,
SITC SPA,B027m,Campitello - Col Rodella,11,14/06/2015,04/10/2015,13.45,17.30,
SITC SPA,B028m,Passo Pordoi - Cima Pordoi,10,15/05/2015,11/10/2015,9.00,17.00,
IMPRESE E TERRITORIO Società consortile a responsabilità limitata,B029b,Col Verde - Rosetta,9,20/06/2015,20/09/2015,8.20,16.45,sosta pr 13.00 - 13.40
FUNIVIE MADONNA DI CAMPIGLIO SPA,C014h,Fortini - Pian del Graffer,,,,,,
FUNIVIE MADONNA DI CAMPIGLIO SPA,C015h,Pian del Graffer - Grosté,,,,,,
FUNIVIE DI PINZOLO SPA,C021h,Prà  Rodont Doss del Sabion,6,21/06/2015,13/09/2015,9.00,13.00,
FUNIVIE DI PINZOLO SPA,C021h,Prà  Rodont Doss del Sabion,6,21/06/2015,13/09/2015,14.00,17.30,
FUNIVIA CIAMPAC E CONTRIN SPA,C028m,Ciampac - Sella Brunec,"4,4",21/06/2015,13/09/2015,8.30,12.10,
FUNIVIA CIAMPAC E CONTRIN SPA,C028m,Ciampac - Sella Brunec,"4,4",21/06/2015,13/09/2015,13.45,17.30,
FUNIVIE MADONNA DI CAMPIGLIO SPA,C029h,Madonna di Campiglio Monte Spinale,,,,,,
SITC SPA,C031m,Canazei Pecol,6,14/06/2015,21/09/2015,8.30,12.30,
SITC SPA,C031m,Canazei Pecol,6,14/06/2015,21/09/2015,13.45,17.30,
FUNIVIE BUFFAURE SPA,C034m,Pozza - Buffaure,"8,5",14/06/2015,20/09/2015,8.30,12.30,
FUNIVIE BUFFAURE SPA,C034m,Pozza - Buffaure,"8,5",14/06/2015,20/09/2015,14.00,18.00,
CAROSELLO TONALE SPA,C035g,Tonale Valbiolo,"4,4",04/07/2015,30/08/2015,9.00,16.30,
FUNIVIE MADONNA DI CAMPIGLIO SPA,C041h,Madonna di Campiglio Pradalago,,,,,,
FUNIVIE E SEGGIOVIE SAN MARTINO SPA,C042b,Frattazza - Tognola,8,13/06/2015,13/09/2015,8.30,17.00,
FUNIVIE E SEGGIOVIE SAN MARTINO SPA,C042b,Frattazza - Tognola,8,02/08/2018,23/08/2015,8.30,18.00,
FUNIVIE E SEGGIOVIE SAN MARTINO SPA,C042b,Frattazza - Tognola,8,19/09/2015,20/09/2015,8.30,17.00,fine settimana
