Concessionario;Codice impianto;Nome impianto;Tariffa (Euro);Apertura Dal Giorno;Apertura Al Giorno;Orario dalle ore ;Orario alle ore ;Variazioni e note
Soc. Trentino Trasporti Esercizio;B007e;Trento - Sardagna;3;01/01/2014;31/12/2015;07:00;22:30;Residente fuori provincia - servizio continuato
Soc. Trentino Trasporti Esercizio;B007e;Trento - Sardagna;1,2;01/01/2014;31/12/2015;07:00;22:30;Tariffa trasporto pubblico locale - servizio continuato
Soc. Fun. Monte Mezzocorona;B008e;Mezzocorona - Monte;5;01/10/2014;31/03/2015;08:00;20:00;giorn di sabato e festivi
Soc. Fun. Monte Mezzocorona;B008e;Mezzocorona - Monte;5;01/10/2014;23/12/2014;07:30;08:30;giorni feriali di lunedi, martedç, mecoledç, giovedi e venerdç
Soc. Fun. Monte Mezzocorona;B008e;Mezzocorona - Monte;5;01/10/2014;23/12/2014;11:30;15:00;giorni feriali di lunedi, martedç, mecoledç, giovedi e venerdç
Soc. Fun. Monte Mezzocorona;B008e;Mezzocorona - Monte;5;01/10/2014;23/12/2014;11:30;15:00;giorni feriali di lunedi, martedç, mecoledç, giovedi e venerdç
Soc. Fun. Monte Mezzocorona;B008e;Mezzocorona - Monte;5;01/10/2014;23/12/2014;17:00;19:00;giorni feriali di lunedi, martedç, mecoledç, giovedi e venerdç
Soc. Fun. Monte Mezzocorona;B008e;Mezzocorona - Monte;5;24/12/2014;06/01/2015;08:00;20:00;giorni feriali di lunedi, martedç, mecoledç, giovedi e venerdç
Soc. Fun. Monte Mezzocorona;B008e;Mezzocorona - Monte;5;07/01/2015;31/03/2015;07:30;08:30;giorni feriali di lunedi, martedç, mecoledç, giovedi e venerdç
Soc. Fun. Monte Mezzocorona;B008e;Mezzocorona - Monte;5;07/01/2015;31/03/2015;11:30;15:00;giorni feriali di lunedi, martedç, mecoledç, giovedi e venerdç
Soc. Fun. Monte Mezzocorona;B008e;Mezzocorona - Monte;5;07/01/2015;31/03/2015;11:30;15:00;giorni feriali di lunedi, martedç, mecoledç, giovedi e venerdç
Soc. Fun. Monte Mezzocorona;B008e;Mezzocorona - Monte;5;07/01/2015;31/03/2015;17:00;19:00;giorni feriali di lunedi, martedç, mecoledç, giovedi e venerdç
Soc. Fun. Ciampac e Contrin;B014m;Alba - Ciampac;8,8;05/12/2014;31/01/2015;08:30;17:00;
Soc. Fun. Ciampac e Contrin;B014m;Alba - Ciampac;8,8;01/02/2015;06/04/2015;08:30;17:15;
S.I.T.C.;B017m;Pecol - Col dei Rossi;7;05/12/2014;12/04/2015;08:30;16:40;Il 1/2/2015 gli orari chiusura verranno prorogati di 30  minuti
Soc. Fun. Col Margherita;B022m;P. S.Pellegrino - Col Margherita;7,5;29/11/2014;06/04/2015;09:00;16:30;apertura giornaliera prorogata alle 17/17,30 in base all'allungamento della visibilit‡
Soc. Catinaccio Impianti a Fune;B026m;Vigo di Fassa - Ciampedie;8;05/12/2014;24/01/2015;08:30;16:45;
Soc. Catinaccio Impianti a Fune;B026m;Vigo di Fassa - Ciampedie;8;25/01/2015;06/04/2015;08:30;17:00;
S.I.T.C.;B027m;Campitello - Col Rodella ;11;05/12/2014;12/04/2015;08:15;17:00;Il 1/2/2015 gli orari chiusura verranno prorogati di 30  minuti
S.I.T.C.;B028m;Passo Pordoi - Sass Pordoi;8,5;23/12/2014;12/04/2015;09:00;16:30;
Imprese e Territorio Soc. Cons. s.r.l.;B029b;Col Verde - Rosetta;7;05/12/2014;06/04/2015;08:30;13:00;
Imprese e Territorio Soc. Cons. s.r.l.;B029b;Col Verde - Rosetta;7;05/12/2014;06/04/2015;13:40;16:30;
Soc. Fun. Peio;B030g;Tarlenta - Rifugio Mantova;10;06/12/2014;12/04/2015;09:00;16:00;
Soc. Fun. Folgarida Marilleva;C012g;Malghet Haut - Monte Spolverino;3,9;29/11/2014;12/04/2015;08:30;16:30;
Soc. Fun. Madonna di Campiglio;C014h;Fortini - Pian del Graffer;8;16/11/2014;30/04/2015;08:30;17:30;
Soc.Fun. Madonna di Campiglio;C014h;Fortini - Pian del Graffer;8;01/06/2015;30/09/2015;08:30;17:30;
Soc. Fun. Madonna di Campiglio;C015h;Pian del Graffer - P.so del GrostË;6,5;16/11/2014;30/04/2015;08:30;17:30;
Soc. Fun. Madonna di Campiglio;C015h;Pian del Graffer - P.so del GrostË;6,5;01/06/2015;30/09/2015;08:30;17:30;
