FARE_ID, PRICE, CURRENCY_TYPE, PAYMENT_METHOD, TRANSFERS, TRANSFER_DURATION
EXT_MOBILE ENTRO 4 KM,1.10,EUR,1,,21600
EXT_MOBILE ENTRO 7 KM,1.15,EUR,1,,21600
EXT_MOBILE ENTRO 11 KM,1.60,EUR,1,,21600
EXT_MOBILE ENTRO 15 KM,2.00,EUR,1,,21600
EXT_MOBILE ENTRO 20 KM,2.25,EUR,1,,21600
EXT_MOBILE ENTRO 25 KM,2.60,EUR,1,,21600
EXT_MOBILE ENTRO 30 KM,2.80,EUR,1,,21600
EXT_MOBILE ENTRO 35 KM,2.95,EUR,1,,21600
EXT_MOBILE ENTRO 40 KM,3.15,EUR,1,,21600
EXT_MOBILE ENTRO 45 KM,3.35,EUR,1,,21600
EXT_MOBILE ENTRO 50 KM,3.60,EUR,1,,21600
EXT_MOBILE ENTRO 60 KM,3.95,EUR,1,,21600
EXT_MOBILE ENTRO 70 KM,4.25,EUR,1,,21600
EXT_MOBILE ENTRO 80 KM,4.60,EUR,1,,21600
EXT_MOBILE ENTRO 90 KM,4.95,EUR,1,,21600
EXT_MOBILE ENTRO 100 KM,5.20,EUR,1,,21600
EXT_MOBILE ENTRO 110 KM,5.50,EUR,1,,21600
EXT_MOBILE ENTRO 120 KM,5.75,EUR,1,,21600
EXT_MOBILE ENTRO 130 KM,6.05,EUR,1,,21600
EXT_MOBILE ENTRO 140 KM,6.30,EUR,1,,21600
EXT_MOBILE ENTRO 150 KM,6.55,EUR,1,,21600
EXT_MOBILE ENTRO 160 KM,6.85,EUR,1,,21600
EXT_MOBILE ENTRO 170 KM,7.10,EUR,1,,21600
EXT_MOBILE ENTRO 180 KM,7.40,EUR,1,,21600
EXT_MOBILE ENTRO 190 KM,7.65,EUR,1,,21600
EXT_MOBILE ENTRO 200 KM,7.90,EUR,1,,21600
EXT_MOBILE ENTRO 210 KM,8.20,EUR,1,,21600
EXT_MOBILE ENTRO 220 KM,8.45,EUR,1,,21600
