route_id,service_id,trip_id,trip_headsign,direction_id
84,0000000092019091220200626,0002487032019091220200626,Centrale di Bedollo,0
522,0000006372019091220200626,0002538342019091220200626,Castello Tesino,0
551,0000000022019091220200626,0002531332019091220200626,Serso Centrale Idroelettrica,0
578,0000000012019091220200626,0002488882019091220200626,Ala-Trenitalia,0
194,0000000022019091220200626,0002507942019091220200626,Rovereto-Fermata Trenitalia,0
1,0000000022019091220200626,0002535082019091220200626,Penia,0
352,0000000022019091220200626,0002505082019091220200626,Trento-Staz. Ftm,0
503,0000000042019091220200626,0002510002019091220200626,Rovereto-Via Paoli,0
196,0000000822019091220200626,0002486622019091220200626,Rovereto-Fermata Trenitalia,0
693,0000000022019091220200626,0002533332019091220200626,Borgo Valsugana-C.Intermodale,0
420,0000000022019091220200626,0002486802019091220200626,.,0
161,0000000092019091220200626,0002491502019091220200626,Ponte Arche-Autost.,0
366,0000000072019091220200626,0002534682019091220200626,Mezzocorona-Staz.Fs,0
578,0000000012019091220200626,0002488842019091220200626,Ala-Trenitalia,0
76,0000000072019091220200626,0002523052019091220200626,Viote,0
366,0000000022019091220200626,0002542912019091220200626,Termon,0
153,0000006372019091220200626,0002515192019091220200626,Ponte Arche-Autost.,0
691,0000000072019091220200626,0002533812019091220200626,Trento-Stazione Fs,0
110,0000005902019091220200626,0002494142019091220200626,Rovereto-Fermata Trenitalia,0
417,0000005902019091220200626,0002543192019091220200626,Riva Del G.-Autostaz.,1
134,0000000022019091220200626,0002532012019091220200626,Riva Del G.-Autostaz.,0
520,0000000052019091220200626,0002521062019091220200626,Borgo Vals.-Valli,0
669,0000000042019091220200626,0002511292019091220200626,Taio,0
181,0000000022019091220200626,0002519162019091220200626,Trento-Autostaz.,0
116,0000000052019091220200626,0002513562019091220200626,Caoria,0
60,0000000042019091220200626,0002475102019091220200626,Palu' di Giovo,0
691,0000000022019091220200626,0002533522019091220200626,Trento-Stazione Fs,0
84,0000000062019091220200626,0002487042019091220200626,Regnana,0
102,0000000022019091220200626,0002512842019091220200626,Feltre-Staz. Fs,0
233,0000000052019091220200626,0002540402019091220200626,Brentonico,0
343,0000000022019091220200626,0002502802019091220200626,Pineta di Faedo,0
494,0000000022019091220200626,0002522652019091220200626,Pergine-C.Intermodale,0
112,0000000022019091220200626,0002495032019091220200626,Fiera di Primiero,0
181,0000000042019100820200626,0002583842019100820200626,Trento-Autostaz.,0
108,0000000042019091220200626,0002538152019091220200626,Borgo Valsugana-C.Intermodale,0
198,0000000052019091220200626,0002480762019091220200626,Folgaria-Via Battisti,0
503,0000000042019091220200626,0002509902019091220200626,Vò Sinistro-Passaggio Livello,0
703,0000000022019091220200626,0002530132019091220200626,Lavis-Staz. Ftm,0
417,0000000022019091220200626,0002531792019091220200626,Nago,1
3,0000000042019091220200626,0002517692019091220200626,Grumes,0
366,0000000022019091220200626,0002529662019091220200626,Cles-Autostazione,0
123,0000000022019091220200626,0002527072019091220200626,Borgo Valsugana-C.Intermodale,0
102,0000000822019091220200626,0002543292019091220200626,Feltre-Staz. Fs,0
198,0000000052019091220200626,0002515082019091220200626,Piazza di Terragnolo,0
130,0000000822019091220200626,0002491682019091220200626,Castelir di Bellamonte,0
