trainId,sequenceNumber,stationName,stationId,time
80,1,VERONA PORTA NUOVA,S02430,1571389320000
80,2,ROVERETO,S02044,1571391660000
80,3,TRENTO,S02038,1571392620000
80,4,BOLZANO,S02026,1571394660000
80,5,BRESSANONE,S02014,1571396520000
80,6,FORTEZZA,S02011,1571397180000
80,7,BRENNERO,S02001,1571399280000
81,1,BRENNERO,S02001,1571386440000
81,2,FORTEZZA,S02011,1571388240000
81,3,BRESSANONE,S02014,1571388900000
81,4,BOLZANO,S02026,1571390820000
81,5,TRENTO,S02038,1571392920000
81,6,ROVERETO,S02044,1571393820000
81,7,VERONA PORTA NUOVA,S02430,1571396160000
81,8,BOLOGNA C.LE,S05043,1571400900000
82,1,BOLOGNA C.LE,S05043,1571406600000
82,2,VERONA PORTA NUOVA,S02430,1571409900000
82,3,ROVERETO,S02044,1571413260000
82,4,TRENTO,S02038,1571414220000
82,5,BOLZANO,S02026,1571416260000
82,6,BRESSANONE,S02014,1571418120000
82,7,FORTEZZA,S02011,1571418780000
82,8,BRENNERO,S02001,1571420880000
83,1,BRENNERO,S02001,1571415240000
83,2,FORTEZZA,S02011,1571417040000
83,3,BRESSANONE,S02014,1571417700000
83,4,BOLZANO,S02026,1571419620000
83,5,TRENTO,S02038,1571421720000
83,6,ROVERETO,S02044,1571422620000
83,7,VERONA PORTA NUOVA,S02430,1571424960000
84,1,BOLOGNA C.LE,S05043,1571392320000
84,2,VERONA PORTA NUOVA,S02430,1571395620000
84,3,ROVERETO,S02044,1571398860000
84,4,TRENTO,S02038,1571399820000
84,5,BOLZANO,S02026,1571401860000
84,6,BRESSANONE,S02014,1571403720000
84,7,FORTEZZA,S02011,1571404380000
84,8,BRENNERO,S02001,1571406480000
85,1,BRENNERO,S02001,1571393640000
85,2,FORTEZZA,S02011,1571395440000
85,3,BRESSANONE,S02014,1571396100000
85,4,BOLZANO,S02026,1571398020000
85,5,TRENTO,S02038,1571400120000
85,6,ROVERETO,S02044,1571401020000
85,7,VERONA PORTA NUOVA,S02430,1571403480000
85,8,BOLOGNA C.LE,S05043,1571408640000
86,1,VENEZIA SANTA LUCIA,S02593,1571399400000
86,2,VENEZIA MESTRE,S02589,1571400000000
86,3,PADOVA,S02581,1571400960000
86,4,VICENZA,S02446,1571401980000
86,5,VERONA PORTA NUOVA,S02430,1571403600000
86,6,ROVERETO,S02044,1571406060000
86,7,TRENTO,S02038,1571407020000
86,8,BOLZANO,S02026,1571409060000
86,9,BRESSANONE,S02014,1571410920000
86,10,FORTEZZA,S02011,1571411580000
86,11,BRENNERO,S02001,1571413680000
87,1,BRENNERO,S02001,1571400840000
87,2,FORTEZZA,S02011,1571402640000
87,3,BRESSANONE,S02014,1571403300000
87,4,BOLZANO,S02026,1571405220000
87,5,TRENTO,S02038,1571407320000
87,6,ROVERETO,S02044,1571408220000
87,7,VERONA PORTA NUOVA,S02430,1571410680000
87,8,VICENZA,S02446,1571412240000
87,9,PADOVA,S02581,1571413320000
87,10,VENEZIA MESTRE,S02589,1571414280000
87,11,VENEZIA SANTA LUCIA,S02593,1571415000000
88,1,BOLOGNA C.LE,S05043,1571377500000
88,2,VERONA PORTA NUOVA,S02430,1571381220000
88,3,ROVERETO,S02044,1571384460000
88,4,TRENTO,S02038,1571385420000
88,5,BOLZANO,S02026,1571387460000
88,6,BRESSANONE,S02014,1571389320000
88,7,FORTEZZA,S02011,1571389980000
88,8,BRENNERO,S02001,1571392080000
89,1,BRENNERO,S02001,1571408040000
89,2,FORTEZZA,S02011,1571409840000
89,3,BRESSANONE,S02014,1571410500000
89,4,BOLZANO,S02026,1571412420000
89,5,TRENTO,S02038,1571414520000
89,6,ROVERETO,S02044,1571415420000
89,7,VERONA PORTA NUOVA,S02430,1571417880000
89,8,BOLOGNA C.LE,S05043,1571422860000
764,1,ROMA TERMINI,S08409,1571432400000
764,2,ORTE,S08209,1571434740000
764,3,ORVIETO,S08203,1571436660000
