service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
0000000012019091220200610,1,1,1,1,1,1,1,20190912,20200610
0000000022019091220200610,1,1,1,1,1,1,0,20190912,20200610
0000000022019100720200610,1,1,1,1,1,1,0,20191007,20200610
0000000032019091220200610,1,1,1,1,1,1,0,20190912,20200610
0000000052019091220200610,0,0,0,0,0,0,1,20190912,20200610
0000000092019091220200610,1,1,1,1,1,0,0,20190912,20200610
0000000092019092020200610,1,1,1,1,1,0,0,20190920,20200610
0000000102019091220200610,1,1,1,1,1,0,0,20190912,20200610
0000000252019091220200610,0,0,0,0,0,1,0,20190912,20200610
0000000592019091220200610,1,1,1,1,1,1,0,20190912,20200610
0000000602019091220200610,1,1,1,1,1,1,0,20190912,20200610
0000000622019091220200610,0,0,0,0,0,0,1,20190912,20200610
0000000662019091220200610,1,1,1,1,1,0,0,20190912,20200610
0000000662019091720200610,1,1,1,1,1,0,0,20190917,20200610
0000000672019091220200610,1,1,1,1,1,0,0,20190912,20200610
0000000682019091220200610,1,1,1,1,0,0,0,20190912,20200610
0000000692019091220200610,0,0,0,0,1,0,0,20190912,20200610
0000000772019091220200610,0,0,0,0,0,1,0,20190912,20200610
0000000822019091220200610,0,0,0,0,0,1,0,20190912,20200610
0000001092019091220200610,1,1,1,1,1,1,0,20190912,20200610
