stopId,stopCode,stopName,stopDesc,stopLat,stopLon,zoneId,wheelchairBoarding,routes,distance,type,locality,street,streetNumber,town,postalCode,province,stopLevel
1,28105z,Baselga Del Bondone,,46.078325,11.047358,10110,2,"[{'routeId': 536, 'agencyId': 12, 'routeShortName': '1', 'routeLongName': 'Ospedale P.Dante Sopramonte', 'routeType': 3, 'routeColor': '1D3F72', 'routeTextColor': 'FFFFFF', 'type': 'U', 'areaId': 0, 'news': None}]",,U,Baselga del Bondone,Baselga Del Bondone,,Trento,38123,TN,60
2,28105x,Baselga Del Bondone,,46.078581,11.047541,10110,2,"[{'routeId': 404, 'agencyId': 12, 'routeShortName': '8', 'routeLongName': 'Centochiavi Piazza Dante Mattarello', 'routeType': 3, 'routeColor': '52332A', 'routeTextColor': 'FFFFFF', 'type': 'U', 'areaId': 0, 'news': None}, {'routeId': 536, 'agencyId': 12, 'routeShortName': '1', 'routeLongName': 'Ospedale P.Dante Sopramonte', 'routeType': 3, 'routeColor': '1D3F72', 'routeTextColor': 'FFFFFF', 'type': 'U', 'areaId': 0, 'news': None}, {'routeId': 541, 'agencyId': 12, 'routeShortName': '6', 'routeLongName': 'Vela P.Dante Villazzano Grotta', 'routeType': 3, 'routeColor': '70B442', 'routeTextColor': 'FFFFFF', 'type': 'U', 'areaId': 0, 'news': None}]",,U,Baselga del Bondone,Baselga Del Bondone,,Trento,38123,TN,60
3,27105c,Belvedere,,46.044406,11.105342,10110,0,"[{'routeId': 404, 'agencyId': 12, 'routeShortName': '8', 'routeLongName': 'Centochiavi Piazza Dante Mattarello', 'routeType': 3, 'routeColor': '52332A', 'routeTextColor': 'FFFFFF', 'type': 'U', 'areaId': 0, 'news': None}, {'routeId': 411, 'agencyId': 12, 'routeShortName': '12', 'routeLongName': 'P.Dante Via Ghiaie Ravina Romagnano', 'routeType': 3, 'routeColor': '95293B', 'routeTextColor': 'FFFFFF', 'type': 'U', 'areaId': 0, 'news': None}, {'routeId': 415, 'agencyId': 12, 'routeShortName': '14', 'routeLongName': 'P.Dante Via Sanseverino Belvedere Ravina', 'routeType': 3, 'routeColor': 'E490B0', 'routeTextColor': '000000', 'type': 'U', 'areaId': 0, 'news': None}]",,U,,Belvedere,,Trento,38123,TN,60
4,22220z,Lamar Ponte Avisio,,46.13462,11.110914,10110,2,"[{'routeId': 543, 'agencyId': 12, 'routeShortName': '17', 'routeLongName': 'Piazza Dante Via Bolzano Lamar Lavis', 'routeType': 3, 'routeColor': '1F9ACF', 'routeTextColor': 'FFFFFF', 'type': 'U', 'areaId': 0, 'news': None}]",,U,San Lazzaro,Lamar-Ponte Avisio,,Trento,38121,TN,60
5,28060z,Sp 85 Bivio Sopramonte,,46.085226,11.069313,10110,2,"[{'routeId': 536, 'agencyId': 12, 'routeShortName': '1', 'routeLongName': 'Ospedale P.Dante Sopramonte', 'routeType': 3, 'routeColor': '1D3F72', 'routeTextColor': 'FFFFFF', 'type': 'U', 'areaId': 0, 'news': None}]",,U,,Sp 85 Bivio Sopramonte,,Trento,38123,TN,60
7,24405z,Maso Bolleri,,46.102485,11.124174,10110,2,"[{'routeId': 408, 'agencyId': 12, 'routeShortName': '10', 'routeLongName': 'P.Dante Martignano Cognola / Montevaccino', 'routeType': 3, 'routeColor': '0A5543', 'routeTextColor': 'FFFFFF', 'type': 'U', 'areaId': 0, 'news': None}]",,U,Bolleri Vecchia,Maso Bolleri,,Trento,38121,TN,60
8,24405x,Maso Bolleri,,46.102234,11.12394,10110,2,"[{'routeId': 406, 'agencyId': 12, 'routeShortName': '9', 'routeLongName': 'P.Dante S.Don�\xa0 Cognola Villamontagna', 'routeType': 3, 'routeColor': '8B4E2B', 'routeTextColor': 'FFFFFF', 'type': 'U', 'areaId': 0, 'news': None}, {'routeId': 408, 'agencyId': 12, 'routeShortName': '10', 'routeLongName': 'P.Dante Martignano Cognola / Montevaccino', 'routeType': 3, 'routeColor': '0A5543', 'routeTextColor': 'FFFFFF', 'type': 'U', 'areaId': 0, 'news': None}]",,U,Bolleri Vecchia,Maso Bolleri,,Trento,38121,TN,60
9,25205x,Borino,,46.067115,11.165639,10110,2,"[{'routeId': 400, 'agencyId': 12, 'routeShortName': '5', 'routeLongName': 'Piazza Dante P.Fiera Povo Oltrecastello', 'routeType': 3, 'routeColor': 'F5C500', 'routeTextColor': '000000', 'type': 'U', 'areaId': 0, 'news': None}, {'routeId': 570, 'agencyId': 12, 'routeShortName': 'CM', 'routeLongName': 'Povo Borino Celva Passo Cimirlo', 'routeType': 3, 'routeColor': None, 'routeTextColor': None, 'type': 'U', 'areaId': 0, 'news': None}]",,U,Povo,Borino,,Trento,38123,TN,60
10,28205z,Cadine Strada Gardesana,,46.08863,11.065018,10110,1,"[{'routeId': 536, 'agencyId': 12, 'routeShortName': '1', 'routeLongName': 'Ospedale P.Dante Sopramonte', 'routeType': 3, 'routeColor': '1D3F72', 'routeTextColor': 'FFFFFF', 'type': 'U', 'areaId': 0, 'news': None}]",,U,Cadine,Cadine,,Trento,38123,TN,60
12,22110c,Canova Paludi,,46.09917,11.109314,10110,1,"[{'routeId': 402, 'agencyId': 12, 'routeShortName': '7', 'routeLongName': 'Canova Melta Piazza Dante Gocciadoro', 'routeType': 3, 'routeColor': '0A9B86', 'routeTextColor': 'FFFFFF', 'type': 'U', 'areaId': 0, 'news': None}, {'routeId': 424, 'agencyId': 12, 'routeShortName': '11', 'routeLongName': 'Spini Di Gardolo Via Brennero P.Dante', 'routeType': 3, 'routeColor': '582E79', 'routeTextColor': 'FFFFFF', 'type': 'U', 'areaId': 0, 'news': None}, {'routeId': 539, 'agencyId': 12, 'routeShortName': '4', 'routeLongName': 'Gardolo Roncafort Stazione V.Deg. Mad.Bianca', 'routeType': 3, 'routeColor': '007BC3', 'routeTextColor': 'FFFFFF', 'type': 'U', 'areaId': 0, 'news': None}]",,U,Trento,Canova Paludi,,Trento,38121,TN,60
13,22015x,"Gardolo ""Materna Paludi""",,46.103846,11.108235,10110,2,"[{'routeId': 402, 'agencyId': 12, 'routeShortName': '7', 'routeLongName': 'Canova Melta Piazza Dante Gocciadoro', 'routeType': 3, 'routeColor': '0A9B86', 'routeTextColor': 'FFFFFF', 'type': 'U', 'areaId': 0, 'news': None}, {'routeId': 424, 'agencyId': 12, 'routeShortName': '11', 'routeLongName': 'Spini Di Gardolo Via Brennero P.Dante', 'routeType': 3, 'routeColor': '582E79', 'routeTextColor': 'FFFFFF', 'type': 'U', 'areaId': 0, 'news': None}, {'routeId': 539, 'agencyId': 12, 'routeShortName': '4', 'routeLongName': 'Gardolo Roncafort Stazione V.Deg. Mad.Bianca', 'routeType': 3, 'routeColor': '007BC3', 'routeTextColor': 'FFFFFF', 'type': 'U', 'areaId': 0, 'news': None}]",,U,Trento,"Gardolo ""Materna Paludi""",,Trento,38121,TN,60
14,21220-,Centro Commerciale,,46.091584,11.105652,10110,0,"[{'routeId': 424, 'agencyId': 12, 'routeShortName': '11', 'routeLongName': 'Spini Di Gardolo Via Brennero P.Dante', 'routeType': 3, 'routeColor': '582E79', 'routeTextColor': 'FFFFFF', 'type': 'U', 'areaId': 0, 'news': None}]",,U,Trento,Centro Commerciale,,Trento,38122,TN,60
15,21105z,Asiago S.Bartolameo,,46.047972,11.137456,10110,1,"[{'routeId': 541, 'agencyId': 12, 'routeShortName': '6', 'routeLongName': 'Vela P.Dante Villazzano Grotta', 'routeType': 3, 'routeColor': '70B442', 'routeTextColor': 'FFFFFF', 'type': 'U', 'areaId': 0, 'news': None}]",,U,Trento,Asiago S.Bartolameo,,Trento,38123,TN,60
16,21100x,Asiago Banala,,46.047681,11.137741,10110,1,"[{'routeId': 536, 'agencyId': 12, 'routeShortName': '1', 'routeLongName': 'Ospedale P.Dante Sopramonte', 'routeType': 3, 'routeColor': '1D3F72', 'routeTextColor': 'FFFFFF', 'type': 'U', 'areaId': 0, 'news': None}, {'routeId': 541, 'agencyId': 12, 'routeShortName': '6', 'routeLongName': 'Vela P.Dante Villazzano Grotta', 'routeType': 3, 'routeColor': '70B442', 'routeTextColor': 'FFFFFF', 'type': 'U', 'areaId': 0, 'news': None}]",,U,Trento,Asiago Banala,,Trento,38123,TN,60
17,24015x,"Cognola ""Toresela""",,46.078904,11.153473,10110,2,"[{'routeId': 406, 'agencyId': 12, 'routeShortName': '9', 'routeLongName': 'P.Dante S.Don�\xa0 Cognola Villamontagna', 'routeType': 3, 'routeColor': '8B4E2B', 'routeTextColor': 'FFFFFF', 'type': 'U', 'areaId': 0, 'news': None}, {'routeId': 408, 'agencyId': 12, 'routeShortName': '10', 'routeLongName': 'P.Dante Martignano Cognola / Montevaccino', 'routeType': 3, 'routeColor': '0A5543', 'routeTextColor': 'FFFFFF', 'type': 'U', 'areaId': 0, 'news': None}]",,U,,"Cognola ""Toresela""",,Trento,38121,TN,60
