DATA|LINEA|VARIANTE|CORSA|BUS|ORA_PARTENZA|ORA_ARRIVO|SALITA|ABBONAMENTO|ACQUISTO_BORDO|ACQUISTO_TERRA|CARTA_SCALARE|CHIP_ON_PAPER|MOBILE_TICKETING|PRESTAMPATO
10-08-2017|Aldeno-Nomi-Villa-Rovereto                                                                          |Aldeno - Nomi - Rovereto|E301390008|1656|06:55:00|07:31:00|Aldeno (Cimitero)|1|0|0|0|0|0|0
10-08-2017|Aldeno-Nomi-Villa-Rovereto                                                                          |Aldeno - Nomi - Rovereto|E301390008|1656|06:55:00|07:31:00|Piazzo di Villa Lagarina|1|0|0|0|0|0|0
10-08-2017|Aldeno-Nomi-Villa-Rovereto                                                                          |Aldeno - Nomi - Rovereto|E301390008|1656|06:55:00|07:31:00|Pomarolo|2|0|0|0|0|0|1
10-08-2017|Aldeno-Nomi-Villa-Rovereto                                                                          |Aldeno - Nomi - Rovereto|E301390008|1656|06:55:00|07:31:00|Villa Lagarina|1|0|0|0|0|0|0
10-08-2017|Aldeno-Nomi-Villa-Rovereto                                                                          |Aldeno - Nomi - Rovereto|E301410005|1619|13:10:00|13:44:00|NOMI (Casa di Riposo)|2|0|0|0|0|0|0
10-08-2017|Aldeno-Nomi-Villa-Rovereto                                                                          |Aldeno - Nomi - Rovereto|E301410005|1619|13:10:00|13:44:00|Villa Lagarina (Via Magre')|1|0|0|0|0|0|0
10-08-2017|Aldeno-Nomi-Villa-Rovereto                                                                          |Aldeno -Nomi -Pomarolo|E304250004|1897|17:50:00|18:08:00|ALDENO|1|0|0|0|0|0|0
10-08-2017|Aldeno-Nomi-Villa-Rovereto                                                                          |Pomarolo -Nomi -Aldeno|E304300005|1897|06:53:00|07:12:00|NOMI|2|0|0|1|0|0|0
10-08-2017|Aldeno-Nomi-Villa-Rovereto                                                                          |Rovereto - Aldeno|E303660007|1814|15:18:00|15:29:00|NOMI|0|2|0|0|0|0|0
10-08-2017|Aldeno-Nomi-Villa-Rovereto                                                                          |Rovereto - Nomi - Aldeno|E301420007|1619|12:30:00|13:03:00|NOMI|0|1|0|0|0|0|0
10-08-2017|Aldeno-Nomi-Villa-Rovereto                                                                          |Rovereto - Nomi - Aldeno|E301420007|1619|12:30:00|13:03:00|ROV. (C. Rosmini-Monu.)|2|0|0|0|0|0|0
10-08-2017|Aldeno-Nomi-Villa-Rovereto                                                                          |Rovereto - Nomi - Aldeno|E301420007|1619|12:30:00|13:03:00|Rovereto (V.le Trento)|1|0|0|0|0|0|0
10-08-2017|Aldeno-Nomi-Villa-Rovereto                                                                          |Rovereto - Nomi - Aldeno|E301440006|1656|18:00:00|18:33:00|NOMI|0|1|0|0|0|0|0
10-08-2017|Aldeno-Nomi-Villa-Rovereto                                                                          |Rovereto - Nomi - Aldeno|E301440006|1656|18:00:00|18:33:00|ROV. (C. Rosmini-Monu.)|0|0|0|0|0|0|1
10-08-2017|Alpe Pampeago-Cavalese                                                                              |Alpe Pampeago -Cavalese|E100620203|1133|11:37:00|11:55:00|Tesero (Loc. Piera)|1|0|0|0|0|0|0
10-08-2017|Alpe Pampeago-Cavalese                                                                              |Alpe Pampeago -Cavalese|E100620203|1133|11:37:00|11:55:00|Tesero/Lago|1|3|0|0|5|0|0
10-08-2017|Alpe Pampeago-Cavalese                                                                              |Alpe Pampeago -Cavalese|E103910006|1405|08:45:00|09:25:00|Masi di Cavalese|1|0|0|0|0|0|0
10-08-2017|Alpe Pampeago-Cavalese                                                                              |Alpe Pampeago -Cavalese|E103910006|1405|08:45:00|09:25:00|Tesero/Lago|0|0|0|0|2|0|0
10-08-2017|Alpe Pampeago-Cavalese                                                                              |Alpe Pampeago -Cavalese|E103950006|1691|13:49:00|14:29:00|CAVALESE|0|0|4|0|0|0|0
10-08-2017|Alpe Pampeago-Cavalese                                                                              |Alpe Pampeago -Cavalese|E103950006|1691|13:49:00|14:29:00|Lago di Tesero|1|0|0|0|0|0|0
10-08-2017|Alpe Pampeago-Cavalese                                                                              |Alpe Pampeago -Cavalese|E103970005|1708|16:49:00|17:29:00|ALPE PAMPEAGO|0|1|0|0|0|0|0
10-08-2017|Alpe Pampeago-Cavalese                                                                              |Alpe Pampeago -Cavalese|E103970005|1708|16:49:00|17:29:00|Lago di Tesero|1|0|0|0|0|0|0
10-08-2017|Alpe Pampeago-Cavalese                                                                              |Alpe Pampeago -Cavalese|E103970005|1708|16:49:00|17:29:00|Tesero/Lago|1|0|0|0|0|0|0
10-08-2017|Alpe Pampeago-Cavalese                                                                              |Alpe Pampeago -Cavalese|E104330006|1133|19:33:00|20:03:00|Masi (Piccolo Bar)|1|0|0|0|0|0|0
10-08-2017|Alpe Pampeago-Cavalese                                                                              |Alpe Pampeago -Cavalese|E104330006|1133|19:33:00|20:03:00|Tesero/Lago|1|1|0|0|0|0|0
10-08-2017|Alpe Pampeago-Cavalese                                                                              |Cavalese-Masi-Pampeago|E100620105|1133|11:05:00|11:34:00|CAVALESE|0|0|0|1|0|0|0
10-08-2017|Alpe Pampeago-Cavalese                                                                              |Cavalese-Masi-Pampeago|E100620105|1133|11:05:00|11:34:00|Lago di Tesero|0|0|0|0|2|0|0
10-08-2017|Alpe Pampeago-Cavalese                                                                              |Cavalese-Masi-Pampeago|E100620105|1133|11:05:00|11:34:00|Tesero/Lago|1|2|0|0|0|0|0
10-08-2017|Alpe Pampeago-Cavalese                                                                              |Cavalese-Masi-Pampeago|E100660107|1405|08:00:00|08:40:00|Masi (Via Chiesa civ.118)|0|0|0|0|1|0|0
10-08-2017|Alpe Pampeago-Cavalese                                                                              |Cavalese-Masi-Pampeago|E100660107|1405|08:00:00|08:40:00|Tesero Bivio|1|0|0|0|0|0|0
10-08-2017|Alpe Pampeago-Cavalese                                                                              |Cavalese-Masi-Pampeago|E100680105|1691|13:04:00|13:44:00|CAVALESE|1|0|5|1|0|0|0
10-08-2017|Alpe Pampeago-Cavalese                                                                              |Cavalese-Masi-Pampeago|E100680105|1691|13:04:00|13:44:00|STAVA|0|1|0|0|0|0|0
10-08-2017|Alpe Pampeago-Cavalese                                                                              |Cavalese-Masi-Pampeago|E103960005|1708|16:04:00|16:44:00|CAVALESE|1|1|0|0|3|0|0
10-08-2017|Alpe Pampeago-Cavalese                                                                              |Cavalese-Masi-Pampeago|E103960005|1708|16:04:00|16:44:00|Masi di Cavalese|2|0|0|0|0|0|0
10-08-2017|Alpe Pampeago-Cavalese                                                                              |Cavalese-Masi-Pampeago|E103960005|1708|16:04:00|16:44:00|Tesero/Lago|0|3|0|0|0|0|0
10-08-2017|Alpe Pampeago-Cavalese                                                                              |Cavalese-Masi-Pampeago|E103980006|1133|19:00:00|19:30:00|CAVALESE|1|0|0|0|0|0|0
10-08-2017|Besagno-Crosano-Cornè-Saccone                                                                       |Cornè -Cazzano -Besagno|E302910102|1585|06:15:00|06:36:00|BRENTONICO/Crosano/Castione|0|1|0|0|0|0|0
