DATA|LINEA|VARIANTE|CORSA|BUS|ORA_PARTENZA|ORA_ARRIVO|SALITA|ABBONAMENTO|ACQUISTO_BORDO|ACQUISTO_TERRA|CARTA_SCALARE|CHIP_ON_PAPER|MOBILE_TICKETING|PRESTAMPATO
07-10-2017|Aldeno-Nomi-Villa-Rovereto                                                                          |Aldeno - Nomi - Rovereto|B301410005|1714|13:10:00|13:44:00|ALDENO|0|3|0|0|0|0|0
07-10-2017|Aldeno-Nomi-Villa-Rovereto                                                                          |Aldeno - Nomi - Rovereto|B301410005|1714|13:10:00|13:44:00|Piazzo di Villa Lagarina|0|0|0|0|0|0|1
07-10-2017|Aldeno-Nomi-Villa-Rovereto                                                                          |Aldeno -Nomi -Pomarolo|B304170004|1897|12:45:00|13:03:00|ALDENO|1|0|0|0|0|0|0
07-10-2017|Aldeno-Nomi-Villa-Rovereto                                                                          |Aldeno-Nomi-Rovereto|B301390107|1883|06:55:00|07:28:00|ALDENO|7|0|0|0|0|0|0
07-10-2017|Aldeno-Nomi-Villa-Rovereto                                                                          |Aldeno-Nomi-Rovereto|B301390107|1883|06:55:00|07:28:00|Pomarolo|1|0|0|0|0|0|0
07-10-2017|Aldeno-Nomi-Villa-Rovereto                                                                          |Pomarolo -Nomi -Aldeno|B304300005|1897|06:53:00|07:12:00|Aldeno - Maso Canova Sud|1|0|0|0|0|0|0
07-10-2017|Aldeno-Nomi-Villa-Rovereto                                                                          |Pomarolo -Nomi -Aldeno|B304300005|1897|06:53:00|07:12:00|NOMI|6|0|0|0|0|0|0
07-10-2017|Aldeno-Nomi-Villa-Rovereto                                                                          |Pomarolo -Nomi -Aldeno|B304300005|1897|06:53:00|07:12:00|NOMI (Casa di Riposo)|1|0|0|0|0|0|0
07-10-2017|Aldeno-Nomi-Villa-Rovereto                                                                          |Pomarolo -Nomi -Aldeno|B304300005|1897|06:53:00|07:12:00|Pomarolo|4|0|0|0|0|0|0
07-10-2017|Aldeno-Nomi-Villa-Rovereto                                                                          |Pomarolo -Nomi -Aldeno|B304300005|1897|06:53:00|07:12:00|Pomarolo (Chiesa)|3|0|0|0|0|0|0
